name,units,tcgplayer,cardkingdom,manapool
Esper Sentinel,11,57.79,69.99,62.77
Faerie Mastermind,10,11.17,14.99,9.88
Grand Abolisher,9,17.71,20.99,16.49
Hexing Squelcher,10,20.38,27.99,19.52
"Lotho, Corrupt Shirriff",7,11.89,16.99,12.34
Memnite,3,2.98,2.79,1.64
Mockingbird,11,3.33,4.99,2.95
Opposition Agent,8,17.99,22.99,18.75
Orcish Bowmasters,10,49.47,54.99,50.54
Professional Face-Breaker,6,6.13,7.99,5.39
"Ragavan, Nimble Pilferer",13,43.41,54.99,46.33
Ranger-Captain of Eos,10,37.83,54.99,38.88
Simian Spirit Guide,14,3.25,3.99,3.25
Tataru Taru,9,8.4,9.99,8.3
Thassa's Oracle,11,23.95,27.99,19.39
Valley Floodcaller,12,3.6,5.49,3.6
Voice of Victory,9,17.28,27.99,17.58
Arcane Signet,19,0.48,0.79,0.39
Chrome Mox,23,176.05,54.99,39.59
Lion's Eye Diamond,14,816.91,899.99,890.91
Lotus Petal,24,33.98,42.99,35.07
Mana Vault,25,101.47,109.99,93.78
Mox Amber,17,75.78,94.99,81.27
Mox Diamond,22,1128.58,1499.99,1405.65
Mox Opal,17,246.35,249.99,229.24
Sol Ring,25,1.38,2.29,1.35
Wishclaw Talisman,11,1.57,3.49,2.04
Ad Nauseam,9,10.84,9.99,10.42
An Offer You Can't Refuse,11,2.64,4.49,2.24
Borne Upon a Wind,12,4.11,4.99,3.83
Brain Freeze,9,3.13,4.49,2.75
Cabal Ritual,12,13.16,18.99,13.54
Chain of Vapor,9,13.35,10.99,9.77
Commandeer,7,2.38,4.49,1.82
Culling the Weak,11,10.56,9.99,7.29
Dark Ritual,15,4.66,4.49,3.63
Deflecting Swat,15,65.34,94.99,68.48
Demonic Consultation,12,8.33,8.99,5.21
Dispel,5,0.38,0.39,0.2
Enlightened Tutor,11,36.89,37.99,25.1
Fierce Guardianship,16,53.89,79.99,56.83
Final Fortune,10,21.05,10.99,9.32
Flusterstorm,17,8.69,7.49,6.18
Force of Negation,11,52.12,69.99,48.95
Force of Will,17,64.37,32.99,20.25
Into the Flood Maw,7,2.56,3.99,1.92
Intuition,4,356.55,499.99,416.8
Mental Misstep,17,8.62,7.99,6.08
Mindbreak Trap,17,9.23,10.99,6.76
Mystical Tutor,10,18.02,20.99,16.63
