name,units,tcgplayer,cardkingdom,manapool
Axgard Cavalry,1,0.07,0.35,0.15
Emerald Charm,1,0.1,0.35,0.15
Dimir House Guard,1,0.12,0.35,0.15
Sudden Shock,1,0.13,0.35,0.15
Three Tree Mascot,1,0.15,0.35,0.15
"Tetsuko Umezawa, Fugitive",1,0.15,0.35,0.15
Flywheel Racer,1,0.16,0.35,0.15
Wingcrafter,1,0.16,0.35,0.15
Crumbling Vestige,1,0.16,0.35,0.15
Impulsive Pilferer,1,0.16,0.35,0.15
Young Wolf,1,0.17,0.35,0.15
Wild Slash,1,0.17,0.35,0.15
Basking Broodscale,1,0.17,0.35,0.15
Mishra's Factory,1,0.17,0.35,0.15
Mardu Devotee,1,0.18,0.35,0.15
Abrade,1,0.18,0.35,0.15
"Rishkar, Peema Renegade",1,0.18,0.59,0.17
Claim the Firstborn,1,0.19,0.35,0.15
Light Up the Stage,1,0.19,0.39,0.15
Plundering Barbarian,1,0.19,0.39,0.15
Chromatic Star,2,0.2,0.35,0.15
Barkform Harvester,1,0.2,0.35,0.15
Command Tower,22,0.2,0.59,0.2
Angrath's Marauders,1,0.21,0.69,0.15
Auratouched Mage,1,0.21,0.35,0.18
"Dargo, the Shipwrecker",1,0.21,0.35,0.15
Mogg Salvage,1,0.21,0.35,0.15
Unstable Amulet,1,0.22,0.35,0.15
Wall of Roots,1,0.22,0.49,0.15
Shao Jun,1,0.22,0.35,0.15
Glamer Gifter,1,0.22,0.35,0.15
Vile Entomber,1,0.23,0.79,0.15
Holdout Settlement,1,0.23,0.39,0.15
Llanowar Elves,3,0.23,0.59,0.15
Dwarven Scorcher,1,0.24,0.39,0.27
Wild Cantor,1,0.24,0.35,0.15
Gene Pollinator,1,0.24,0.35,0.15
Exotic Orchard,11,0.24,0.49,0.15
Gingerbrute,2,0.24,0.69,0.16
Phyrexian Revoker,1,0.24,0.49,0.25
Ornithopter,2,0.25,0.69,0.15
Twinshot Sniper,1,0.25,0.35,0.15
Peregrine Drake,1,0.25,0.69,0.15
Skyclave Apparition,2,0.25,0.49,0.15
Spire of Industry,2,0.25,0.49,0.15
Drift of Phantasms,1,0.25,0.69,0.25
"Malcolm, Keen-Eyed Navigator",1,0.26,0.39,0.15
Stalactite Dagger,1,0.26,0.35,0.15
Reap and Sow,1,0.26,0.35,0.26
"Felothar, Dawn of the Abzan",1,0.26,0.49,0.15
Cloud of Faeries,2,0.26,0.59,0.15
"Quicksilver, Brash Blur",1,0.26,0.49,0.15
Key to the City,1,0.27,0.49,0.15
Barbarian Ring,1,0.27,0.49,0.15
Battlefield Forge,1,0.27,0.69,0.15
Stitcher's Supplier,1,0.27,0.69,0.15
Liberated Dwarf,1,0.27,0.35,0.26
Dwarven Grunt,1,0.27,0.39,0.28
Strangleroot Geist,1,0.27,0.35,0.15
Trickery Charm,1,0.28,0.59,0.26
Swamp,15,0.28,0.35,0.15
Mind Stone,1,0.28,0.79,0.25
Skirge Familiar,1,0.28,0.99,0.15
Loyal Apprentice,1,0.28,0.49,0.19
Volatile Fault,1,0.29,0.39,0.15
Tax Collector,1,0.29,0.59,0.15
Conduit Pylons,1,0.29,0.79,0.15
Retraction Helix,1,0.29,0.35,0.15
Talisman of Progress,1,0.3,0.79,0.27
Shivan Reef,1,0.3,0.69,0.2
Reckless Handling,1,0.3,0.59,0.15
Tavern Scoundrel,1,0.3,0.35,0.15
Bloodfire Dwarf,1,0.3,0.39,0.25
Mirage Mirror,1,0.31,0.49,0.15
Chaos Warp,1,0.31,0.69,0.19
Transmogrify,1,0.31,0.49,0.19
Dispel,5,0.31,0.39,0.2
Hidden Strings,1,0.31,0.59,0.27
Zoyowa's Justice,1,0.31,0.35,0.15
Divergent Transformations,1,0.31,0.49,0.26
"Chainer, Dementia Master",1,0.32,0.49,0.15
Enslaved Dwarf,1,0.32,0.35,0.34
Confounding Conundrum,1,0.32,0.49,0.15
Havenwood Battleground,1,0.32,0.59,0.36
"Smellerbee, Rebel Fighter",1,0.32,0.69,0.2
Sylvan Scrying,1,0.32,0.49,0.15
Anointed Peacekeeper,1,0.32,0.49,0.15
"Mister Fantastic, Reed Richards",1,0.32,0.39,0.15
Snapback,4,0.33,0.99,0.3
Siren Stormtamer,1,0.33,1.29,0.2
Grapeshot,1,0.33,0.59,0.15
March of Wretched Sorrow,1,0.33,0.49,0.15
"Lena, Selfless Champion",1,0.33,1.29,0.32
"Vaan, Street Thief",1,0.33,0.49,0.15
Survivors' Encampment,1,0.34,1.29,0.36
Dwarven Trader,1,0.34,0.39,0.15
Yavimaya Coast,2,0.34,0.69,0.2
Unlicensed Hearse,1,0.34,0.99,0.15
Rosie Cotton of South Lane,1,0.34,0.39,0.15
Firdoch Core,1,0.35,0.39,0.15
Asmodeus the Archfiend,1,0.35,0.49,0.15
Faerie Seer,1,0.35,0.59,0.25
The Mycosynth Gardens,2,0.35,0.99,0.33
Ioreth of the Healing House,1,0.36,0.79,0.15
Greedy Freebooter,1,0.36,0.79,0.15
Springleaf Drum,10,0.36,0.99,0.15
Plains,4,0.36,0.35,0.15
Devoted Druid,2,0.36,0.79,0.31
Prized Statue,1,0.36,0.79,0.29
Final Parting,1,0.36,0.59,0.31
Island,3,0.36,0.35,0.15
Lifecraft Engine,1,0.37,0.49,0.15
Aqueous Form,1,0.37,0.99,0.35
Crippling Fear,1,0.37,1.29,0.36
Buried Ruin,1,0.38,0.99,0.37
Skullsnatcher,1,0.38,0.49,0.15
Faeburrow Elder,1,0.38,0.79,0.33
Vision Quest,1,0.38,0.49,0.15
Pit of Offerings,1,0.38,0.59,0.26
Talisman of Curiosity,1,0.38,0.79,0.2
Pithing Needle,1,0.39,0.79,0.3
Sevinne's Reclamation,7,0.39,0.99,0.15
Elvish Mystic,2,0.39,0.99,0.4
Mountain,11,0.4,0.35,0.15
Dream Beavers,1,0.4,0.35,0.15
Displacement Wave,1,0.4,0.79,0.39
Talisman of Hierarchy,1,0.41,0.99,0.37
Avacyn's Pilgrim,3,0.41,1.79,0.38
Fatal Push,1,0.41,0.99,0.15
Ricochet Trap,1,0.41,0.59,0.2
Mothdust Changeling,1,0.41,1.49,0.26
"Casey Jones, Back Alley Brute",1,0.42,0.69,0.15
Cut Down,1,0.42,0.79,0.19
"Abigale, Eloquent First-Year",1,0.42,0.49,0.15
Signal Pest,1,0.42,0.99,0.36
Return the Favor,1,0.43,0.39,0.15
Reckless Fireweaver,1,0.43,0.99,0.2
Louisoix's Sacrifice,1,0.43,0.49,0.15
Ornithopter of Paradise,1,0.43,0.99,0.2
Ghost Quarter,1,0.43,1.29,0.37
Archmage Emeritus,1,0.44,1.49,0.37
"Lavinia, Azorius Renegade",1,0.44,0.59,0.22
Gudul Lurker,1,0.44,1.29,0.41
Molten Disaster,1,0.44,0.99,0.45
"Tam, Mindful First-Year",1,0.44,0.59,0.15
Adaptive Automaton,1,0.44,2.29,0.69
Goblin Rabblemaster,1,0.45,1.29,0.36
Dramatic Reversal,3,0.45,0.99,0.25
Arcane Signet,19,0.45,0.79,0.39
Ominous Harvest,1,0.45,0.49,0.15
Llanowar Wastes,1,0.46,1.49,0.47
"Thalia, Guardian of Thraben",1,0.47,0.49,0.36
Preordain,1,0.47,1.29,0.36
Forest,7,0.47,0.35,0.15
Metallic Mimic,1,0.49,1.29,0.36
Culling Ritual,3,0.49,0.59,0.15
Battered Golem,1,0.49,0.69,0.46
Colossal Skyturtle,1,0.49,0.69,0.41
Blood Pet,1,0.51,1.49,0.82
Deserted Temple,1,0.51,1.29,0.25
Reality Scramble,1,0.51,0.79,0.38
Leyline of the Void,1,0.52,0.69,0.16
Sire of Insanity,1,0.52,0.79,0.4
Patrol Signaler,1,0.53,0.79,0.5
Infernal Plunge,5,0.55,0.69,0.4
Universal Automaton,2,0.57,0.99,0.5
The Jolly Balloon Man,1,0.57,0.69,0.36
"Rionya, Fire Dancer",1,0.58,0.49,0.4
"Lukka, Coppercoat Outcast",1,0.58,0.99,0.43
Smuggler's Copter,1,0.6,1.49,0.45
Waterlogged Grove,1,0.6,1.79,0.65
Trophy Mage,1,0.61,1.79,0.56
Aven Mindcensor,1,0.62,0.79,0.46
Arid Archway,1,0.62,1.29,0.61
Autumn's Veil,1,0.62,0.69,0.3
Eidolon of Rhetoric,2,0.62,1.29,0.6
Shadow of Mortality,1,0.62,1.29,0.3
Sanctum Prelate,1,0.63,1.49,1.56
Echoing Deeps,1,0.64,0.69,0.3
"Magda, the Hoardmaster",1,0.66,1.79,0.15
God-Pharaoh's Statue,1,0.67,1.49,0.35
Curiosity,2,0.68,1.49,0.6
Weftstalker Ardent,1,0.69,2.29,0.52
Seat of the Synod,1,0.7,1.29,0.6
Neoform,1,0.74,0.99,0.48
Blasphemous Act,1,0.75,1.99,0.44
Fellwar Stone,7,0.75,1.29,0.56
Damping Sphere,3,0.75,0.99,0.64
"K'rrik, Son of Yawgmoth",1,0.78,1.49,0.32
Spirit of the Labyrinth,1,0.78,0.69,0.3
Lightning Bolt,3,0.79,1.99,0.62
Expedition Map,2,0.8,2.79,1.02
