rank,productId,name,set,category,units,transactions,gmv_sale,avg_price
1,693022,The Mind Stone,Marvel Super Heroes,Mythic,2492,2301,177420.29,71.1959430176565
2,647302,The Soul Stone,Marvel's Spider-Man,Mythic,1503,1447,138835.12,92.37200266134397
3,660570,Badgermole Cub,Avatar: The Last Airbender,Mythic,1574,1308,85413.69,54.265368487928846
4,686637,Force of Will,Secrets of Strixhaven: Mystical Archive,Mythic,1072,1011,79855.2,74.49179104477612
5,696341,"Thanos, The Mad Titan (Borderless) (0400)",Marvel Super Heroes,Mythic,340,336,77344.05,227.48250000000002
6,689157,Jeska's Will (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,Mythic,156,154,70357.89,451.01211538461536
7,686640,Force of Will (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,Mythic,356,345,67766.69,190.35587078651687
8,488270,The One Ring (Borderless) (LTR Bundle),Unique and Miscellaneous Promos,Promo,739,700,67037.19,90.71338294993234
9,641734,Quantum Riddler,Edge of Eternities,Mythic,1862,1322,65347.76,35.09546723952739
10,686552,Vampiric Tutor,Secrets of Strixhaven: Mystical Archive,Mythic,1027,1013,62963.15,61.30783836416748
11,7357,Rhystic Study,Prophecy,Common,1168,1081,62619.2,53.61232876712329
12,6323,Grim Monolith,Urza's Legacy,Rare,128,123,60958.36,476.2371875
13,668479,Doctor Doom (Borderless) (0394),Marvel Super Heroes,Mythic,324,322,57602.98,177.78697530864198
14,487805,The One Ring,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Mythic,504,471,54063.35,107.26855158730159
15,689158,Emeritus of Woe,Secrets of Strixhaven,Mythic,2628,2444,53654.09,20.416320395738204
16,240035,Esper Sentinel,Modern Horizons 2,Rare,905,853,52529.9,58.044088397790055
17,498367,Orcish Bowmasters,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Rare,1051,902,50732.94,48.271113225499526
18,618882,"Y'shtola, Night's Blessed (Borderless)",Commander: FINAL FANTASY,Mythic,295,294,49560.93,168.00315254237287
19,631015,Vivi Ornitier,FINAL FANTASY,Mythic,1292,1168,49500.96,38.31343653250774
20,689151,Jeska's Will,Secrets of Strixhaven: Mystical Archive,Mythic,987,979,49097.54,49.7442147922999
21,700738,Doom Variant - Roaming Throne (Borderless),Marvel Universe Eternal-Legal,Mythic,950,926,48228.45,50.766789473684206
22,36238,Mox Opal,Scars of Mirrodin,Mythic,212,174,47972.49,226.28533018867924
23,671005,Hexing Squelcher,Lorwyn Eclipsed,Rare,2249,1999,47272.12,21.01917296576256
24,632704,Buster Sword,FINAL FANTASY,Mythic,1115,1095,46692.32,41.8765201793722
25,696296,"Mjolnir, Hammer of Thor",Marvel Super Heroes,Mythic,2168,1972,45841.31,21.144515682656827
26,660516,"Wan Shi Tong, Librarian",Avatar: The Last Airbender,Mythic,1104,985,45162.86,40.90838768115942
27,525238,Roaming Throne,The Lost Caverns of Ixalan,Rare,915,879,45155.52,49.35029508196721
28,71039,"Nykthos, Shrine to Nyx",Theros,Rare,874,829,44694.62,51.13800915331808
29,688651,Erode,Secrets of Strixhaven,Rare,5161,3771,44420.03,8.606864948653362
30,1595,Tropical Island,Revised Edition,Rare,95,86,44094.18,464.1492631578947
31,1624,Wheel of Fortune,Revised Edition,Rare,136,136,43943.92,323.1170588235294
32,183033,Smothering Tithe,Ravnica Allegiance,Rare,839,826,43753.43,52.14949940405244
33,686555,Vampiric Tutor (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,Mythic,275,274,43407.91,157.84694545454548
34,1597,Tundra,Revised Edition,Rare,93,75,43155.11,464.0334408602151
35,282800,"Sheoldred, the Apocalypse",Dominaria United,Mythic,436,414,42451.92,97.36678899082568
36,643635,Ancient Tomb (0001) (Borderless),Edge of Eternities: Stellar Sights,Mythic,356,352,42001.99,117.98311797752808
37,641733,Ouroboroid,Edge of Eternities,Mythic,1226,1094,41896.74,34.173523654159865
38,696312,The Unbeatable Squirrel Girl,Marvel Super Heroes,Rare,4253,3688,41653.38,9.79388196567129
39,212302,The Ozolith,Ikoria: Lair of Behemoths,Rare,625,618,41394.88,66.231808
40,697254,"Doctor Doom, Unrivaled",Commander: Marvel Super Heroes,Mythic,505,493,41378.21,81.9370495049505
41,262050,"Boseiju, Who Endures",Kamigawa: Neon Dynasty,Rare,794,738,40247.32,50.68931989924433
42,689350,Cyclonic Rift (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,Mythic,95,94,40186.27,423.0133684210526
43,696314,The Unbeatable Squirrel Girl (Borderless),Marvel Super Heroes,Rare,1445,1402,40163.43,27.794761245674742
44,697546,The Fantasticar,Commander: Marvel Super Heroes,Rare,1320,472,40153.98,30.41968181818182
45,162125,Mox Amber,Dominaria,Mythic,482,448,39190.26,81.30759336099585
46,632052,Stay with Me - Rhystic Study (Showcase),FINAL FANTASY: Through the Ages,Mythic,298,296,38885.53,130.488355704698
47,5457,Ancient Tomb,Tempest,Uncommon,324,276,38528.53,118.9152160493827
48,671032,Hexing Squelcher (Showcase),Lorwyn Eclipsed,Rare,1032,971,38496.73,37.30303294573644
49,7030,Serra's Sanctum,Urza's Saga,Rare,89,83,38452.96,432.0557303370786
50,632705,Buster Sword (Borderless),FINAL FANTASY,Mythic,383,377,37591.77,98.15083550913837
51,644286,Icetill Explorer,Edge of Eternities,Rare,2211,1900,37394.02,16.912718227046582
52,5615,Lotus Petal,Tempest,Common,1154,939,37326.22,32.345077989601386
53,618887,Dragon of Mount Gulg - Ancient Copper Dragon (Showcase),FINAL FANTASY: Through the Ages,Mythic,281,281,37192.89,132.35903914590747
54,697204,"Loki, Lord of Misrule",Commander: Marvel Super Heroes,Mythic,525,520,36970.73,70.4204380952381
55,5529,Earthcraft,Tempest,Rare,197,190,36203.26,183.77289340101524
56,552863,Ocelot Pride,Modern Horizons 3,Mythic,900,716,36022.15,40.02461111111111
57,1339,Badlands,Revised Edition,Rare,91,82,35955.66,395.1171428571429
58,238619,Urza's Saga,Modern Horizons 2,Rare,854,735,35875.67,42.008981264637
59,688521,Flashback,Secrets of Strixhaven,Rare,4968,3915,35594.57,7.164768518518518
60,696349,The Ten Rings,Marvel Super Heroes,Mythic,2274,1899,35517.26,15.618847845206686
61,688679,Flow State,Secrets of Strixhaven,Uncommon,7962,4218,35152.65,4.415052750565184
62,5593,Intuition,Tempest,Rare,104,99,34624.8,332.9307692307693
63,690171,Flusterstorm (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,Mythic,141,141,34108.66,241.905390070922
64,689345,Cyclonic Rift,Secrets of Strixhaven: Mystical Archive,Mythic,926,917,33661.33,36.3513282937365
65,686601,Emeritus of Ideation,Secrets of Strixhaven,Mythic,2881,2343,33634.76,11.67468240194377
66,686575,Improvisation Capstone,Secrets of Strixhaven,Mythic,2404,2229,33561.75,13.960794509151414
67,541274,Polluted Delta,Modern Horizons 3,Rare,1751,1349,33437.93,19.096476299257567
68,656776,Tataru Taru (Borderless) (Chocobo Track Foil),Commander: FINAL FANTASY,Rare,174,171,33149.16,190.51241379310346
69,688890,Crop Rotation (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,Rare,186,180,33136.86,178.15516129032258
70,660571,Badgermole Cub (Borderless),Avatar: The Last Airbender,Mythic,424,390,32929.07,77.66290094339622
71,130149,Anointed Procession,Amonkhet,Rare,598,591,32787.74,54.82899665551839
72,697268,Ultron the Annihilator,Commander: Marvel Super Heroes,Mythic,539,537,32483.51,60.26625231910946
73,688833,Ad Nauseam (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,Mythic,104,104,32106.01,308.7116346153846
74,238610,Scalding Tarn,Modern Horizons 2,Rare,843,723,32081.95,38.05688018979834
75,630950,"Sephiroth, Fabled SOLDIER",FINAL FANTASY,Mythic,953,886,31940.09,33.51530954879328
76,4416,Survival of the Fittest,Exodus,Rare,91,87,31934.16,350.92483516483514
77,1585,Taiga,Revised Edition,Rare,98,91,31917.08,325.6844897959184
78,1527,Plateau,Revised Edition,Rare,107,94,31836.74,297.5396261682243
79,631871,Vivi Ornitier (Borderless),FINAL FANTASY,Mythic,319,314,31636.96,99.17542319749217
80,623894,"Ugin, Eye of the Storms",Tarkir: Dragonstorm,Mythic,755,633,31543.68,41.77970860927152
81,238609,Misty Rainforest,Modern Horizons 2,Rare,895,781,31538.45,35.23849162011173
82,589328,Bloodthirsty Conqueror,Foundations,Mythic,897,851,31536.51,35.15775919732441
83,509562,Smothering Tithe (Anime Borderless),Wilds of Eldraine: Enchanting Tales,Mythic,142,142,31506.04,221.87352112676058
84,504495,Deflecting Swat (Borderless),Commander Masters,Rare,259,255,31407.63,121.2649806949807
85,212191,Deflecting Swat,Commander 2020,Rare,485,482,31377.17,64.69519587628865
86,656850,"Yuna, Hope of Spira (Borderless) (Chocobo Track Foil)",FINAL FANTASY,Mythic,230,223,31267.8,135.94695652173914
87,656848,Vivi Ornitier (Borderless) (Chocobo Track Foil),FINAL FANTASY,Mythic,140,139,31191.56,222.79685714285716
88,541275,Bloodstained Mire,Modern Horizons 3,Rare,1754,1308,31099.03,17.730347776510833
89,212218,Fierce Guardianship,Commander 2020,Rare,573,556,30911.99,53.947626527050616
90,657764,Doubling Season (Borderless),Teenage Mutant Ninja Turtles Source Material,Mythic,1060,1019,30851.81,29.10548113207547
91,498425,Orcish Bowmasters (Borderless),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Rare,506,470,30840.34,60.94928853754941
92,238607,Arid Mesa,Modern Horizons 2,Rare,940,803,30609.27,32.56305319148936
93,273001,Ancient Copper Dragon,Commander Legends: Battle for Baldur's Gate,Mythic,273,270,30369.32,111.2429304029304
94,190647,Force of Negation,Modern Horizons,Rare,598,454,30257.39,50.597642140468224
95,656750,"Cloud, Midgar Mercenary (Borderless) (Chocobo Track Foil)",FINAL FANTASY,Mythic,183,179,30078.56,164.36371584699455
96,4303,City of Traitors,Exodus,Rare,62,61,29828.88,481.1109677419355
97,697383,Devil Dinosaur,Commander: Marvel Super Heroes,Rare,661,653,29813.43,45.10352496217852
98,1388,Demonic Tutor,Revised Edition,Uncommon,576,560,29789.94,51.71864583333333
99,1342,Bayou,Revised Edition,Rare,81,73,29753.39,367.3258024691358
100,696412,T'Challa's Protection - Teferi's Protection (Borderless),Marvel Universe Eternal-Legal,Mythic,849,797,29590.33,34.8531566548881
101,697068,"Shang-Chi, Master of Kung Fu (Borderless) (0396)",Marvel Super Heroes,Mythic,308,302,29331.49,95.2321103896104
102,631062,"Cloud, Ex-SOLDIER (Borderless) (Surge Foil)",Commander: FINAL FANTASY,Mythic,80,78,29277.02,365.96275
103,5170,Phyrexian Dreadnought,Mirage,Rare,113,91,28695.21,253.93991150442477
104,558355,Three Tree City,Bloomburrow,Rare,1162,1102,28672.54,24.67516351118761
105,630959,"Sephiroth, Fabled SOLDIER (0317) (Borderless)",FINAL FANTASY,Mythic,303,298,28483.51,94.00498349834983
106,590858,Doubling Season,Foundations,Mythic,871,855,28482.04,32.700390355912745
107,1552,Savannah,Revised Edition,Rare,94,85,28251.48,300.54765957446807
108,498456,Balin's Tomb - Ancient Tomb (Borderless),Commander: The Lord of the Rings: Tales of Middle-earth,Mythic,159,155,28123.71,176.87867924528302
109,662549,The Walls of Ba Sing Se,Avatar: The Last Airbender,Mythic,1136,1098,28108.07,24.74301936619718
110,509566,Rhystic Study (Anime Borderless),Wilds of Eldraine: Enchanting Tales,Mythic,147,145,27813.25,189.20578231292518
111,696290,Tony Stark (Borderless) (0392),Marvel Super Heroes,Mythic,312,307,27746.75,88.93189102564102
112,668478,Bruce Banner (Borderless) (0390),Marvel Super Heroes,Mythic,289,288,27587.07,95.45698961937717
113,1556,Scrubland,Revised Edition,Rare,77,74,27448.33,356.4718181818182
114,696581,"Ultron, Artificial Malevolence",Marvel Super Heroes,Mythic,2084,1850,27391.69,13.14380518234165
115,689348,Cyclonic Rift (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,Mythic,257,256,27317.3,106.29299610894941
116,697332,The Vision and Scarlet Witch,Commander: Marvel Super Heroes,Mythic,402,396,27280.02,67.86074626865671
117,689106,Germination Practicum,Secrets of Strixhaven,Mythic,2502,2296,27255.53,10.893497202238208
118,541277,Wooded Foothills,Modern Horizons 3,Rare,1621,1330,27216.12,16.789710055521283
119,656838,Tifa Lockhart (Borderless) (Chocobo Track Foil),FINAL FANTASY,Rare,195,189,26900.87,137.95317948717948
120,651357,Eddie Brock (0233) (Borderless),Marvel's Spider-Man,Mythic,254,250,26826.79,105.61728346456694
121,630884,"Cloud, Midgar Mercenary (Borderless) (Surge Foil)",FINAL FANTASY,Mythic,106,103,26791.4,252.7490566037736
122,696583,"Ultron, Artificial Malevolence (Borderless) (0401)",Marvel Super Heroes,Mythic,266,265,26782.68,100.68676691729324
123,499456,Mithril Coat,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Rare,922,902,26544.4,28.790021691973973
124,656787,Snapcaster Mage (Borderless) (Chocobo Track Foil),Commander: FINAL FANTASY,Mythic,181,175,26447.8,146.12044198895026
125,659479,"Jin Sakai, Ghost of Tsushima",Secret Lair Drop Series,Mythic,225,187,26428.31,117.45915555555555
126,660517,"Wan Shi Tong, Librarian (Borderless)",Avatar: The Last Airbender,Mythic,332,322,26413.35,79.55828313253012
127,238608,Marsh Flats,Modern Horizons 2,Rare,837,730,26385.95,31.524432497013144
128,614390,Chrome Mox (Borderless),Special Guests,Mythic,141,141,26100.49,185.10985815602837
129,630968,"Sephiroth, Fabled SOLDIER (0382) (Borderless)",FINAL FANTASY,Mythic,335,330,26004.37,77.62498507462686
130,687438,Land Tax,Commander: Secrets of Strixhaven,Mythic,1781,1465,25895.59,14.539915777653004
131,696535,Jennifer Walters,Marvel Super Heroes,Mythic,2036,1696,25879.83,12.711114931237722
132,696582,"Ultron, Artificial Malevolence (Borderless) (0344)",Marvel Super Heroes,Mythic,788,776,25848.48,32.80263959390863
133,591214,Hare Apparent,Foundations,Common,8091,2181,25803.42,3.1891509084167593
134,696324,King T'Challa,Marvel Super Heroes,Mythic,2136,1705,25784.7,12.071488764044943
135,673653,"Krang, Utrom Warlord",Teenage Mutant Ninja Turtles,Mythic,1477,1405,25680.86,17.387176709546377
136,498414,Delighted Halfling,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Rare,970,918,25645.12,26.438268041237112
137,662085,Urza's Saga,Secret Lair Countdown Kit,Rare,340,299,25592.79,75.27291176470588
138,552631,Warren Soultrader,Modern Horizons 3,Rare,1858,1700,25367.76,13.653261571582346
139,226653,Jeska's Will,Commander Legends,Rare,615,587,25352.2,41.22308943089431
140,218602,Mox Opal,Double Masters,Mythic,105,87,25301.81,240.96961904761906
141,686619,"Witherbloom, the Balancer (Borderless)",Secrets of Strixhaven,Mythic,784,780,25290.45,32.25822704081633
142,6209,Metalworker,Urza's Destiny,Rare,154,143,25289.12,164.21506493506493
143,541276,Flooded Strand,Modern Horizons 3,Rare,1668,1331,25288.58,15.161019184652279
144,657755,Super Shredder,Teenage Mutant Ninja Turtles,Mythic,1210,1080,25268.64,20.883173553719008
145,451975,Mox Amber,The Brothers' War: Retro Frame Artifacts,Mythic,277,266,25234.59,91.09960288808664
146,553302,Urza's Incubator,Modern Horizons 3,Rare,1456,1353,25186.66,17.29853021978022
147,5412,Sliver Queen,Stronghold,Rare,101,98,25153.84,249.0479207920792
148,239857,"Ragavan, Nimble Pilferer",Modern Horizons 2,Mythic,523,453,24999.77,47.80070745697897
149,623882,"Elspeth, Storm Slayer",Tarkir: Dragonstorm,Mythic,606,591,24933.87,41.144999999999996
150,658468,Aerith Gainsborough,Pro Tour Promos,Promo,85,83,24899.6,292.9364705882353
151,504494,Deflecting Swat,Commander Masters,Rare,362,353,24716.89,68.27870165745856
152,552582,Sink into Stupor,Modern Horizons 3,Uncommon,3599,2654,24673.06,6.855532092247847
153,623897,Voice of Victory,Tarkir: Dragonstorm,Rare,1232,1063,24642.83,20.00229707792208
154,615741,Monument to Endurance,Aetherdrift,Rare,1330,1225,24474.03,18.40152631578947
155,696438,"Wolverine, Best There Is (Borderless)",Marvel Universe Eternal-Legal,Mythic,849,845,24370.85,28.705359246171966
156,656711,Steam Vents,Lorwyn Eclipsed,Rare,2031,1678,24236.45,11.933259478089612
157,631066,"Tifa, Martial Artist (Borderless) (Surge Foil)",Commander: FINAL FANTASY,Mythic,101,98,24103.56,238.6491089108911
158,525241,Roaming Throne (Borderless),The Lost Caverns of Ixalan,Rare,490,479,23833.89,48.64059183673469
159,238611,Verdant Catacombs,Modern Horizons 2,Rare,779,727,23756.19,30.495750962772785
160,698015,Molecule Man,Commander: Marvel Super Heroes,Rare,739,586,23560.53,31.881637347767253
161,670957,Chronicle of Victory,Lorwyn Eclipsed,Mythic,1195,1106,23468.74,19.6391129707113
162,687542,Sol Ring,Commander: Secrets of Strixhaven,Uncommon,8498,3436,23317.87,2.7439244528124265
163,11467,Chrome Mox,Mirrodin,Rare,161,157,23304.08,144.74583850931677
164,686613,"Witherbloom, the Balancer",Secrets of Strixhaven,Mythic,2192,2033,23054.02,10.51734489051095
165,5226,Shallow Grave,Mirage,Rare,288,209,22980.25,79.79253472222223
166,697490,Patriotic Shield - Sword of Fire and Ice (Borderless),Marvel Universe Eternal-Legal,Mythic,775,761,22647.77,29.222929032258065
167,135074,Torment of Hailfire,Hour of Devastation,Rare,569,563,22555.69,39.64093145869947
168,686600,Professor Dellian Fel,Secrets of Strixhaven,Mythic,2303,1865,22433.9,9.741163699522362
169,525752,Exquisite Blood,Commander: The Lost Caverns of Ixalan,Rare,654,640,22427.04,34.29211009174312
170,656784,"Lulu, Stern Guardian (Borderless) (Chocobo Track Foil)",Commander: FINAL FANTASY,Rare,167,165,22419.96,134.25125748502992
171,696274,"Loki, God of Mischief",Marvel Super Heroes,Rare,4095,2184,22407.65,5.471953601953603
172,660581,"Toph, Earthbending Master",Avatar: The Last Airbender: Eternal-Legal,Mythic,541,540,22342.12,41.29781885397412
173,501923,"Muxus, Goblin Grandee (Rainbow Foil)",Secret Lair Drop Series,Rare,184,179,22276.38,121.06728260869566
174,633136,The Earth Crystal,FINAL FANTASY,Rare,1776,1701,22255.09,12.531019144144144
175,689155,Jeska's Will (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,Mythic,256,256,22253.45,86.9275390625
176,3330,Transmute Artifact,Antiquities,Uncommon,63,58,22242.0,353.04761904761904
177,662054,Phyrexian Altar,Secret Lair Countdown Kit,Rare,396,386,22215.79,56.1004797979798
178,553235,Talon Gates of Madara,Commander: Modern Horizons 3,Rare,1161,783,22209.65,19.12975882859604
179,630870,"Cloud, Midgar Mercenary",FINAL FANTASY,Mythic,1033,976,22037.16,21.333165537270087
180,696542,Jennifer Walters (Borderless) (0388),Marvel Super Heroes,Mythic,332,325,22008.61,66.29099397590362
181,262051,"Boseiju, Who Endures (Borderless)",Kamigawa: Neon Dynasty,Rare,236,232,21935.02,92.94500000000001
182,448904,Chrome Mox,Secret Lair Countdown Kit,Mythic,104,100,21841.41,210.0135576923077
183,696634,The Astonishing Ant-Man (Borderless),Marvel Super Heroes,Rare,336,333,21826.65,64.96026785714287
184,222103,Malakir Rebirth,Zendikar Rising,Uncommon,1568,1432,21826.46,13.919936224489796
185,162175,Rat Colony,Dominaria,Common,3421,797,21823.39,6.379242911429406
186,6232,Replenish,Urza's Destiny,Rare,119,108,21656.82,181.99008403361344
187,516539,Mox Opal (Retro Frame) (Foil Etched),Secret Lair Drop Series,Mythic,51,46,21641.07,424.3347058823529
188,630917,Summon: Bahamut,FINAL FANTASY,Mythic,984,943,21577.96,21.928821138211383
189,262434,"Otawara, Soaring City",Kamigawa: Neon Dynasty,Rare,708,688,21503.08,30.371581920903957
190,544392,"Bristly Bill, Spine Sower",Outlaws of Thunder Junction,Mythic,502,474,21486.9,42.80258964143427
191,638912,Sacred Foundry,Edge of Eternities,Rare,1835,1563,21465.02,11.697558583106268
192,660577,The Banyan Tree - The Great Henge (Borderless),Avatar: The Last Airbender: Eternal-Legal,Mythic,343,343,21398.41,62.38603498542274
193,697059,"Shang-Chi, Master of Kung Fu",Marvel Super Heroes,Mythic,1937,1569,21389.37,11.042524522457407
194,614418,Riverpyre Verge,Aetherdrift,Rare,938,738,21297.7,22.70543710021322
195,656900,"Aerith, Last Ancient (Borderless) (Chocobo Track Foil)",Commander: FINAL FANTASY,Rare,224,223,21267.61,94.9446875
196,648709,Redirect Lightning,Avatar: The Last Airbender,Rare,1839,1682,21253.16,11.556911364872214
197,188701,Finale of Devastation,War of the Spark,Mythic,421,415,21229.31,50.42591448931117
198,697485,Heaven-Sent Marvel - Archangel of Thune (Borderless),Marvel Universe Eternal-Legal,Mythic,958,895,21203.73,22.13332985386221
199,218603,Mox Opal (Borderless),Double Masters,Mythic,55,54,21177.5,385.04545454545456
200,686599,"Prismari, the Inspiration",Secrets of Strixhaven,Mythic,2276,2174,21160.16,9.297082601054482
201,688950,Decorum Dissertation,Secrets of Strixhaven,Mythic,2268,2089,21140.21,9.32108024691358
202,490390,"Etali, Primal Conqueror",March of the Machine,Rare,591,586,21072.89,35.6563282571912
203,641757,Quantum Riddler (Borderless),Edge of Eternities,Mythic,415,327,21012.0,50.63132530120482
204,525381,Hunting Velociraptor (Borderless),Universes Beyond: Jurassic World Collection,Rare,286,285,20999.2,73.42377622377623
205,233371,Demonic Tutor,Strixhaven: Mystical Archive,Mythic,237,233,20956.78,88.42523206751055
206,687365,Faerie Mastermind,Commander: Secrets of Strixhaven,Rare,1949,1628,20938.11,10.743001539250898
207,517448,Gandalf the White (Borderless Poster),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Mythic,82,82,20753.06,253.08609756097562
208,667795,"Yuna, Grand Summoner (Borderless)",WPN & Gateway Promos,Promo,516,471,20726.57,40.167771317829455
209,679211,Donnie's Bo - Shadowspear (Borderless),Teenage Mutant Ninja Turtles Source Material,Mythic,1093,1026,20630.22,18.874858188472096
210,517603,Cavern of Souls (0269),The Lost Caverns of Ixalan,Mythic,404,372,20571.35,50.91918316831683
211,509518,Rhystic Study,Wilds of Eldraine: Enchanting Tales,Mythic,237,221,20558.16,86.74329113924051
212,697396,"Tippy-Toe, Terrific Partner",Commander: Marvel Super Heroes,Uncommon,1284,1244,20538.62,15.995809968847352
213,518158,Tom Bombadil (Borderless Poster),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Mythic,72,71,20506.09,284.80680555555557
214,696299,"Thor, God of Thunder",Marvel Super Heroes,Mythic,2179,1908,20498.08,9.407104176227628
215,552852,Phyrexian Tower,Modern Horizons 3,Mythic,788,719,20470.09,25.97727157360406
216,696304,"Mjolnir, Hammer of Thor (Borderless) (0339)",Marvel Super Heroes,Mythic,471,466,20463.94,43.44785562632696
217,631064,"Terra, Herald of Hope (Borderless) (Surge Foil)",Commander: FINAL FANTASY,Mythic,86,85,20427.8,237.53255813953487
218,517447,Mount Doom (Borderless Poster),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Mythic,97,96,20395.17,210.25948453608245
219,98395,Mox Opal,Modern Masters 2015,Mythic,89,77,20346.87,228.61651685393258
220,696671,Cosmic Cube,Marvel Super Heroes,Mythic,1952,1737,20320.85,10.410271516393442
221,697431,Swordsman's Steel,Commander: Marvel Super Heroes,Rare,842,799,20310.72,24.121995249406176
222,668477,"Captain America, Super-Soldier (Borderless) (0387)",Marvel Super Heroes,Mythic,252,249,20280.33,80.4775
223,91106,"Urborg, Tomb of Yawgmoth",Magic 2015 (M15),Rare,353,351,20276.54,57.44062322946176
224,686615,"Prismari, the Inspiration (Borderless)",Secrets of Strixhaven,Mythic,869,865,20126.49,23.160517836593787
225,638914,Watery Grave,Edge of Eternities,Rare,1870,1630,20053.46,10.723775401069519
226,686672,Sylvan Library (Borderless),Special Guests,Mythic,751,735,20008.27,26.642170439414116
227,638908,"Tezzeret, Cruel Captain",Edge of Eternities,Mythic,1032,880,19930.12,19.312131782945734
228,276288,Imperial Seal,Double Masters 2022,Mythic,125,125,19913.67,159.30936
229,656667,Formidable Speaker,Lorwyn Eclipsed,Rare,2209,1721,19911.64,9.013870529651426
230,589354,Mossborn Hydra,Foundations,Rare,1548,1334,19895.87,12.852629198966408
231,199361,The Great Henge,Throne of Eldraine,Mythic,310,303,19891.63,64.16654838709678
232,656812,Vivi's Persistence (Borderless),Commander: FINAL FANTASY,Rare,485,480,19832.86,40.89249484536083
233,541272,Windswept Heath,Modern Horizons 3,Rare,1690,1384,19673.34,11.641029585798817
234,4183,Lake of the Dead,Alliances,Rare,198,173,19634.27,99.1629797979798
235,499326,"The Dead Marshes - Urborg, Tomb of Yawgmoth (Borderless)",Commander: The Lord of the Rings: Tales of Middle-earth,Mythic,158,157,19578.51,123.91462025316454
236,630919,Summon: Bahamut (Borderless),FINAL FANTASY,Mythic,342,340,19547.98,57.15783625730994
237,589380,Twinflame Tyrant,Foundations,Mythic,758,741,19497.32,25.7220580474934
238,696340,King T'Challa (Borderless) (0399),Marvel Super Heroes,Mythic,297,295,19462.45,65.53013468013468
239,641799,Gemstone Caverns (0016) (Borderless),Edge of Eternities: Stellar Sights,Mythic,334,330,19426.56,58.16335329341318
