card,set,fmt,units,tcgplayer,cardkingdom,manapool
Shock,Magic 2012 (M12),standard,2,0.04,0.35,0.15
Essence Scatter,Magic 2014 (M14),standard,3,0.06,0.35,0.15
Cancel,Shards of Alara,standard,2,0.06,0.35,0.15
Axgard Cavalry,The List Reprints,commander,1,0.07,0.39,0.15
Duress,Dragons of Tarkir,standard,19,0.07,0.39,0.15
Flashfreeze,Magic 2011 (M11),standard,19,0.09,0.39,0.15
Disdainful Stroke,Khans of Tarkir,standard,16,0.1,0.39,0.15
Emerald Charm,Dominaria Remastered,commander,1,0.1,0.35,0.15
Deathmark,Magic 2012 (M12),standard,1,0.1,0.35,0.15
Snakeskin Veil,Kaldheim,standard,4,0.12,0.39,0.15
Negate,Dragons of Tarkir,standard,6,0.12,0.35,0.15
Sudden Shock,Modern Masters,commander,1,0.13,0.35,0.15
Dimir House Guard,Ravnica Remastered,commander,1,0.13,0.35,0.15
Opt,Foundations,standard,11,0.14,0.35,0.15
Dead // Gone,The List Reprints,commander,1,0.14,0.35,0.15
Skycrash,Aetherdrift,standard,1,0.15,0.35,0.15
Three Tree Mascot,Foundations,commander,1,0.15,0.35,0.15
"Tetsuko Umezawa, Fugitive",Commander Masters,commander,1,0.15,0.35,0.15
Wingcrafter,Modern Masters 2017,commander,1,0.16,0.35,0.15
Impulsive Pilferer,Commander Masters,commander,1,0.16,0.39,0.15
"Tigra, Feline Fury",Marvel Super Heroes,standard,2,0.16,0.35,0.15
Flywheel Racer,March of the Machine,commander,1,0.16,0.35,0.15
Crumbling Vestige,Oath of the Gatewatch,commander,1,0.16,0.35,0.15
Wild Slash,Unique and Miscellaneous Promos,commander,1,0.17,0.39,0.15
Heartless Act,Commander Masters,standard,1,0.17,0.35,0.15
Burst Lightning,Modern Masters 2015,standard,15,0.17,0.35,0.15
Mishra's Factory,Commander: Adventures in the Forgotten Realms,commander,1,0.17,0.39,0.15
Basking Broodscale,Modern Horizons 3,commander,1,0.17,0.35,0.15
Young Wolf,Dark Ascension,commander,1,0.17,0.35,0.15
Mardu Devotee,Tarkir: Dragonstorm,commander,1,0.18,0.35,0.15
We Say Thee Nay!,Marvel Super Heroes,standard,2,0.18,0.35,0.15
"Rishkar, Peema Renegade",Commander Masters,commander,1,0.18,0.69,0.16
Abrade,The Lost Caverns of Ixalan,commander,2,0.18,0.35,0.15
Dragonfly Swarm,Avatar: The Last Airbender,standard,4,0.18,0.35,0.15
Annul,Theros,standard,8,0.19,0.35,0.15
Plundering Barbarian,The List Reprints,commander,1,0.19,0.35,0.15
Raven Eagle,Avatar: The Last Airbender,standard,2,0.19,0.49,0.15
"Dargo, the Shipwrecker",Commander Legends,commander,1,0.19,0.35,0.15
Maelstrom Pulse,Foundations,standard,2,0.19,0.49,0.15
Dispelling Exhale,Tarkir: Dragonstorm,standard,5,0.19,0.35,0.15
Claim the Firstborn,Throne of Eldraine,commander,1,0.19,0.35,0.15
Pyroclasm,Magic 2010 (M10),standard,5,0.2,0.39,0.18
Barkform Harvester,Bloomburrow,commander,1,0.2,0.35,0.15
Light Up the Stage,Ravnica: Clue Edition,commander,1,0.2,0.69,0.16
"Oroku Saki, Shredder Rising",Teenage Mutant Ninja Turtles,standard,3,0.2,0.35,0.15
Town Greeter,FINAL FANTASY,standard,4,0.2,0.35,0.15
Death to Our Enemies,Marvel Super Heroes,standard,3,0.2,0.35,0.15
Skirmish Rhino,Tarkir: Dragonstorm,standard,1,0.2,0.35,0.15
Octopus Form,Avatar: The Last Airbender,standard,3,0.2,0.35,0.15
Mogg Salvage,Modern Horizons 2,commander,1,0.2,0.35,0.15
It'll Quench Ya!,Avatar: The Last Airbender,standard,7,0.2,0.35,0.15
Scavenging Ooze,Commander: Streets of New Capenna,standard,2,0.21,0.49,0.15
Chromatic Star,The Brothers' War: Retro Frame Artifacts,commander,2,0.21,0.35,0.15
Divert Disaster,Edge of Eternities,standard,1,0.21,0.35,0.15
Shao Jun,Universes Beyond: Assassin's Creed,commander,1,0.21,0.35,0.15
Auratouched Mage,Ravnica: City of Guilds,commander,1,0.21,0.35,0.15
Flamebraider,Lorwyn Eclipsed,standard,4,0.21,0.35,0.15
Send in the Pest,Secrets of Strixhaven,standard,1,0.21,0.35,0.15
Soul-Guide Lantern,Foundations,standard,10,0.21,0.59,0.15
Spell Pierce,Ixalan,standard,9,0.21,0.35,0.19
Wall of Roots,The List Reprints,commander,1,0.22,0.49,0.17
Glamer Gifter,Lorwyn Eclipsed,commander,1,0.22,0.35,0.15
Unstable Amulet,Modern Horizons 3,commander,1,0.22,0.35,0.15
Dust Animus,Outlaws of Thunder Junction,standard,2,0.22,0.49,0.15
Wild Cantor,Ravnica Remastered,commander,1,0.22,0.35,0.15
Exotic Orchard,Commander: Tarkir: Dragonstorm,commander,11,0.23,0.59,0.15
"Sanar, Unfinished Genius",Secrets of Strixhaven,standard,4,0.23,0.35,0.15
Holdout Settlement,Oath of the Gatewatch,commander,1,0.23,0.49,0.15
Swallowed by Leviathan,FINAL FANTASY,standard,1,0.23,0.35,0.15
Pyrrhic Strike,Lorwyn Eclipsed,standard,1,0.23,0.35,0.15
Cloud of Faeries,Dominaria Remastered,commander,2,0.23,0.59,0.15
Broodspinner,Duskmourn: House of Horror,standard,4,0.23,0.35,0.15
Angrath's Marauders,Commander: The Lost Caverns of Ixalan,commander,1,0.23,0.69,0.15
Secret Identity,Marvel's Spider-Man,standard,1,0.23,0.49,0.15
Dwarven Scorcher,Judgment,commander,1,0.24,0.39,0.16
Feed the Cycle,Bloomburrow,standard,1,0.24,0.35,0.15
Bushwhack,The List Reprints,standard,2,0.24,0.59,0.15
