name,units,tcgplayer,cardkingdom,manapool
Shock,2,0.04,0.35,0.15
Essence Scatter,3,0.06,0.35,0.15
Cancel,2,0.06,0.35,0.15
Axgard Cavalry,1,0.07,0.39,0.15
Duress,19,0.07,0.39,0.15
Flashfreeze,19,0.09,0.39,0.15
Disdainful Stroke,16,0.1,0.39,0.15
Emerald Charm,1,0.1,0.35,0.15
Deathmark,1,0.1,0.35,0.15
Snakeskin Veil,4,0.12,0.39,0.15
Negate,6,0.12,0.35,0.15
Sudden Shock,1,0.13,0.35,0.15
Dimir House Guard,1,0.13,0.35,0.15
Opt,11,0.14,0.35,0.15
Dead // Gone,1,0.14,0.35,0.15
Skycrash,1,0.15,0.35,0.15
Three Tree Mascot,1,0.15,0.35,0.15
"Tetsuko Umezawa, Fugitive",1,0.15,0.35,0.15
Wingcrafter,1,0.16,0.35,0.15
Impulsive Pilferer,1,0.16,0.39,0.15
"Tigra, Feline Fury",2,0.16,0.35,0.15
Flywheel Racer,1,0.16,0.35,0.15
Crumbling Vestige,1,0.16,0.35,0.15
Wild Slash,1,0.17,0.39,0.15
Heartless Act,1,0.17,0.35,0.15
Burst Lightning,15,0.17,0.35,0.15
Mishra's Factory,1,0.17,0.39,0.15
Basking Broodscale,1,0.17,0.35,0.15
Young Wolf,1,0.17,0.35,0.15
Mardu Devotee,1,0.18,0.35,0.15
We Say Thee Nay!,2,0.18,0.35,0.15
"Rishkar, Peema Renegade",1,0.18,0.69,0.16
Abrade,2,0.18,0.35,0.15
Dragonfly Swarm,4,0.18,0.35,0.15
Annul,8,0.19,0.35,0.15
Plundering Barbarian,1,0.19,0.35,0.15
Raven Eagle,2,0.19,0.49,0.15
"Dargo, the Shipwrecker",1,0.19,0.35,0.15
Maelstrom Pulse,2,0.19,0.49,0.15
Dispelling Exhale,5,0.19,0.35,0.15
Claim the Firstborn,1,0.19,0.35,0.15
Pyroclasm,5,0.2,0.39,0.18
Barkform Harvester,1,0.2,0.35,0.15
Light Up the Stage,1,0.2,0.69,0.16
"Oroku Saki, Shredder Rising",3,0.2,0.35,0.15
Town Greeter,4,0.2,0.35,0.15
Death to Our Enemies,3,0.2,0.35,0.15
Skirmish Rhino,1,0.2,0.35,0.15
Octopus Form,3,0.2,0.35,0.15
Mogg Salvage,1,0.2,0.35,0.15
It'll Quench Ya!,7,0.2,0.35,0.15
Scavenging Ooze,2,0.21,0.49,0.15
Chromatic Star,2,0.21,0.35,0.15
Divert Disaster,1,0.21,0.35,0.15
Shao Jun,1,0.21,0.35,0.15
Auratouched Mage,1,0.21,0.35,0.15
Flamebraider,4,0.21,0.35,0.15
Send in the Pest,1,0.21,0.35,0.15
Soul-Guide Lantern,10,0.21,0.59,0.15
Spell Pierce,9,0.21,0.35,0.19
Wall of Roots,1,0.22,0.49,0.17
Glamer Gifter,1,0.22,0.35,0.15
Unstable Amulet,1,0.22,0.35,0.15
Dust Animus,2,0.22,0.49,0.15
Wild Cantor,1,0.22,0.35,0.15
Exotic Orchard,11,0.23,0.59,0.15
"Sanar, Unfinished Genius",4,0.23,0.35,0.15
Holdout Settlement,1,0.23,0.49,0.15
Swallowed by Leviathan,1,0.23,0.35,0.15
Pyrrhic Strike,1,0.23,0.35,0.15
Cloud of Faeries,2,0.23,0.59,0.15
Broodspinner,4,0.23,0.35,0.15
Angrath's Marauders,1,0.23,0.69,0.15
Secret Identity,1,0.23,0.49,0.15
Dwarven Scorcher,1,0.24,0.39,0.16
Feed the Cycle,1,0.24,0.35,0.15
Bushwhack,2,0.24,0.59,0.15
Witherbloom Charm,4,0.24,0.35,0.15
Combustion Technique,11,0.24,0.35,0.15
Firebending Lesson,13,0.24,0.35,0.15
Phyrexian Revoker,1,0.24,0.59,0.21
"Dyadrine, Synthesis Amalgam",2,0.24,0.49,0.22
Subterranean Schooner,1,0.24,0.49,0.21
Gene Pollinator,3,0.24,0.35,0.15
Twinshot Sniper,1,0.25,0.35,0.15
Command Tower,22,0.25,0.69,0.23
Demolition Field,1,0.25,0.49,0.15
Spire of Industry,2,0.25,0.79,0.23
White Lotus Hideout,2,0.25,0.35,0.15
Pick Your Poison,2,0.25,0.35,0.15
Ornithopter,2,0.25,0.69,0.26
