n_cards,tcg_market_total,tcg_low_total,tcg_cart_total,tcg_cart_sellers,ck_total,mp_total
1,21.87,16.49,21.94,1,32.98,23.51
2,27.61,20.09,28.03,2,41.97,28.18
3,32.78,24.19,33.17,3,48.96,32.73
4,45.21,36.17,50.16,4,66.96,47.24
5,48.91,37.18,56.65,5,73.95,49.84
6,73.13,57.43,78.6,6,101.94,69.81
7,75.16,58.19,89.36,7,104.93,70.74
8,85.12,66.47,98.36,7,120.92,81.14
9,105.3,84.46,116.85,8,148.91,99.86
10,123.1,100.46,139.84,9,169.9,113.4
11,150.91,120.46,159.84,9,204.89,139.86
12,175.1,142.56,187.84,10,237.88,160.47
13,190.09,156.61,203.64,11,255.87,174.95
14,197.98,163.72,214.25,12,266.86,183.58
15,214.59,177.22,229.24,12,289.85,199.21
16,228.98,190.72,239.82,11,303.84,211.71
17,232.71,193.68,242.8,12,307.33,212.75
18,247.0,203.68,254.79,12,328.32,226.54
19,264.61,216.35,271.78,13,347.31,240.6
20,282.73,232.35,292.77,14,368.3,258.11
21,301.25,247.34,308.75,14,388.29,276.85
22,318.53,262.34,320.45,13,416.28,294.43
23,337.86,277.34,355.44,14,444.27,312.19
24,351.74,285.85,367.13,15,462.26,323.64
25,374.12,304.82,384.63,15,490.25,343.54
26,375.5,306.02,390.78,16,492.54,344.89
27,379.86,309.0,399.78,17,498.53,348.27
28,384.5,312.0,406.77,18,505.52,351.38
29,389.19,314.88,415.64,19,513.01,356.32
30,399.54,320.57,428.83,20,530.0,364.65
31,428.86,347.56,460.81,21,559.99,395.64
32,451.31,364.33,466.8,20,587.98,416.22
33,458.23,369.82,472.79,21,594.97,420.58
34,477.64,384.81,497.77,22,627.96,441.42
35,487.8,391.8,508.75,23,642.95,450.79
36,499.05,399.8,521.75,24,659.94,461.51
37,519.37,415.3,538.74,24,687.93,481.61
38,529.36,423.2,537.68,23,704.92,491.35
39,533.53,426.2,541.18,23,710.41,495.25
40,540.18,430.2,546.58,24,719.4,501.42
41,552.84,441.51,557.08,24,734.39,511.3
42,560.28,446.39,564.17,25,747.38,519.01
43,572.96,457.38,576.52,24,763.37,532.34
44,582.03,465.1,588.5,25,778.36,541.61
45,602.23,481.8,606.47,26,806.35,559.3
46,609.96,488.55,613.47,26,817.34,566.41
47,620.06,495.06,623.22,27,834.33,575.73
48,631.52,503.56,636.71,28,847.32,585.1
49,642.07,513.06,644.41,29,860.31,594.47
50,658.93,526.06,659.4,29,878.3,607.44
51,672.91,539.66,676.99,30,901.29,621.35
52,678.01,540.56,683.87,31,906.28,623.07
53,688.57,547.32,691.35,32,916.27,630.36
54,697.98,555.01,699.04,32,931.26,638.64
55,705.81,560.01,706.69,33,942.25,646.07
56,714.74,567.51,713.67,33,954.24,654.9
57,728.82,577.51,707.05,33,971.23,666.14
58,731.39,578.7,708.3,33,975.22,668.53
59,742.72,584.8,717.19,33,991.21,673.68
60,760.58,598.8,733.69,33,1014.2,691.25
61,774.8,611.55,747.94,34,1033.19,705.66
62,781.81,614.55,769.94,35,1046.18,712.79
63,796.01,626.74,782.13,35,1067.17,725.29
64,816.86,646.46,806.17,36,1092.16,746.11
65,833.9,661.53,819.67,36,1109.15,761.21
66,842.91,668.52,827.65,37,1123.14,769.44
67,866.86,687.03,853.65,38,1151.13,788.83
68,876.89,697.0,883.23,39,1168.12,801.01
69,883.79,702.0,907.62,40,1184.11,809.07
70,902.82,717.0,923.11,40,1217.1,827.46
71,911.54,724.52,932.63,41,1231.09,835.79
72,924.7,734.52,945.64,41,1250.08,849.33
73,937.64,745.22,959.85,42,1267.07,859.44
74,949.71,754.22,969.55,42,1283.06,869.68
75,958.34,759.56,978.79,43,1297.05,877.53
76,972.31,772.53,975.86,42,1318.04,892.46
77,978.8,777.04,986.85,43,1329.03,899.18
78,998.59,794.98,1006.07,44,1357.02,917.9
79,1014.46,804.98,1016.54,44,1374.01,925.76
80,1031.28,818.98,1028.54,44,1393.0,940.34
81,1034.64,821.36,1030.92,45,1396.49,941.34
82,1035.7,821.75,1034.3,46,1397.48,941.56
83,1058.37,840.81,1052.78,45,1421.47,962.38
84,1074.51,851.8,1064.77,45,1443.46,978.48
85,1088.07,862.75,1076.77,45,1459.45,987.15
