n_cards,card_added,order_value,cardkingdom_subtotal,cardkingdom_shipping,cardkingdom_total,tcgplayer_subtotal,tcgplayer_shipping,tcgplayer_total,manapool_subtotal,manapool_shipping,manapool_total
1,Hexing Squelcher,20.38,27.99,4.99,32.98,20.38,1.49,21.87,19.52,3.99,23.51
2,Erode,26.12,36.98,4.99,41.97,26.12,1.49,27.61,24.19,3.99,28.18
3,The Unbeatable Squirrel Girl,31.29,43.97,4.99,48.96,31.29,1.49,32.78,28.74,3.99,32.73
4,Icetill Explorer,45.21,66.96,0.0,66.96,45.21,0.0,45.21,43.25,3.99,47.24
5,Flashback,48.91,73.95,0.0,73.95,48.91,0.0,48.91,45.85,3.99,49.84
6,The Ten Rings,73.13,101.94,0.0,101.94,73.13,0.0,73.13,69.81,0.0,69.81
7,Flow State,75.16,104.93,0.0,104.93,75.16,0.0,75.16,70.74,0.0,70.74
8,Improvisation Capstone,85.12,120.92,0.0,120.92,85.12,0.0,85.12,81.14,0.0,81.14
9,Polluted Delta,103.81,148.91,0.0,148.91,103.81,1.49,105.3,99.86,0.0,99.86
10,Bloodstained Mire,121.61,169.9,0.0,169.9,121.61,1.49,123.1,113.4,0.0,113.4
11,Three Tree City,149.42,204.89,0.0,204.89,149.42,1.49,150.91,139.86,0.0,139.86
12,The Walls of Ba Sing Se,173.61,237.88,0.0,237.88,173.61,1.49,175.1,160.47,0.0,160.47
13,"Ultron, Artificial Malevolence",188.6,255.87,0.0,255.87,188.6,1.49,190.09,174.95,0.0,174.95
14,Germination Practicum,197.98,266.86,0.0,266.86,197.98,0.0,197.98,183.58,0.0,183.58
15,Wooded Foothills,214.59,289.85,0.0,289.85,214.59,0.0,214.59,199.21,0.0,199.21
16,Land Tax,228.98,303.84,0.0,303.84,228.98,0.0,228.98,211.71,0.0,211.71
17,Hare Apparent,231.22,307.33,0.0,307.33,231.22,1.49,232.71,212.75,0.0,212.75
18,Warren Soultrader,245.51,328.32,0.0,328.32,245.51,1.49,247.0,226.54,0.0,226.54
19,Flooded Strand,263.12,347.31,0.0,347.31,263.12,1.49,264.61,240.6,0.0,240.6
20,Super Shredder,281.24,368.3,0.0,368.3,281.24,1.49,282.73,258.11,0.0,258.11
21,Urza's Incubator,299.76,388.29,0.0,388.29,299.76,1.49,301.25,276.85,0.0,276.85
22,Voice of Victory,317.04,416.28,0.0,416.28,317.04,1.49,318.53,294.43,0.0,294.43
23,Monument to Endurance,337.86,444.27,0.0,444.27,337.86,0.0,337.86,312.19,0.0,312.19
24,Steam Vents,351.74,462.26,0.0,462.26,351.74,0.0,351.74,323.64,0.0,323.64
25,Chronicle of Victory,372.63,490.25,0.0,490.25,372.63,1.49,374.12,343.54,0.0,343.54
26,Sol Ring,374.01,492.54,0.0,492.54,374.01,1.49,375.5,344.89,0.0,344.89
27,"Witherbloom, the Balancer",378.37,498.53,0.0,498.53,378.37,1.49,379.86,348.27,0.0,348.27
28,Professor Dellian Fel,383.01,505.52,0.0,505.52,383.01,1.49,384.5,351.38,0.0,351.38
29,"Loki, God of Mischief",387.7,513.01,0.0,513.01,387.7,1.49,389.19,356.32,0.0,356.32
30,The Earth Crystal,398.05,530.0,0.0,530.0,398.05,1.49,399.54,364.65,0.0,364.65
31,Talon Gates of Madara,427.37,559.99,0.0,559.99,427.37,1.49,428.86,395.64,0.0,395.64
32,"Cloud, Midgar Mercenary",449.82,587.98,0.0,587.98,449.82,1.49,451.31,416.22,0.0,416.22
33,Rat Colony,455.25,594.97,0.0,594.97,455.25,2.98,458.23,420.58,0.0,420.58
34,Summon: Bahamut,476.15,627.96,0.0,627.96,476.15,1.49,477.64,441.42,0.0,441.42
35,Sacred Foundry,486.31,642.95,0.0,642.95,486.31,1.49,487.8,450.79,0.0,450.79
36,"Shang-Chi, Master of Kung Fu",497.56,659.94,0.0,659.94,497.56,1.49,499.05,461.51,0.0,461.51
37,Riverpyre Verge,517.88,687.93,0.0,687.93,517.88,1.49,519.37,481.61,0.0,481.61
38,Redirect Lightning,527.87,704.92,0.0,704.92,527.87,1.49,529.36,491.35,0.0,491.35
