n_cards,card_added,order_value,cardkingdom_subtotal,cardkingdom_shipping,cardkingdom_total,tcgplayer_subtotal,tcgplayer_shipping,tcgplayer_total,manapool_subtotal,manapool_shipping,manapool_total
1,Emeritus of Woe,20.42,21.76,4.99,26.75,20.42,1.49,21.91,19.58,3.99,23.57
2,Hexing Squelcher,41.44,42.68,4.99,47.67,41.44,0.0,41.44,40.76,3.99,44.75
3,"Mjolnir, Hammer of Thor",62.58,65.71,0.0,65.71,62.58,0.0,62.58,61.05,0.0,61.05
4,Erode,71.19,75.17,0.0,75.17,71.19,0.0,71.19,69.58,0.0,69.58
5,The Unbeatable Squirrel Girl,80.98,84.45,0.0,84.45,80.98,0.0,80.98,78.81,0.0,78.81
6,Icetill Explorer,97.89,101.05,0.0,101.05,97.89,0.0,97.89,95.11,0.0,95.11
7,Flashback,105.05,108.62,0.0,108.62,105.05,0.0,105.05,101.86,0.0,101.86
8,The Ten Rings,120.67,124.76,0.0,124.76,120.67,0.0,120.67,116.86,0.0,116.86
9,Flow State,125.09,129.39,0.0,129.39,125.09,1.49,126.58,121.25,0.0,121.25
10,Emeritus of Ideation,136.76,141.13,0.0,141.13,136.76,1.49,138.25,131.99,0.0,131.99
11,Improvisation Capstone,150.72,156.43,0.0,156.43,150.72,1.49,152.21,145.71,0.0,145.71
12,Polluted Delta,169.82,177.26,0.0,177.26,169.82,1.49,171.31,164.37,0.0,164.37
13,Bloodstained Mire,187.55,195.94,0.0,195.94,187.55,0.0,187.55,181.26,0.0,181.26
14,Three Tree City,212.23,223.31,0.0,223.31,212.23,0.0,212.23,204.16,0.0,204.16
15,The Walls of Ba Sing Se,236.97,249.9,0.0,249.9,236.97,0.0,236.97,228.21,0.0,228.21
16,"Ultron, Artificial Malevolence",250.11,263.11,0.0,263.11,250.11,0.0,250.11,240.76,0.0,240.76
17,Germination Practicum,261.0,274.76,0.0,274.76,261.0,1.49,262.49,251.4,0.0,251.4
18,Wooded Foothills,277.79,291.54,0.0,291.54,277.79,1.49,279.28,267.7,0.0,267.7
19,Land Tax,292.33,307.48,0.0,307.48,292.33,1.49,293.82,282.48,0.0,282.48
20,Jennifer Walters,305.04,320.79,0.0,320.79,305.04,1.49,306.53,294.72,0.0,294.72
21,Hare Apparent,308.23,324.11,0.0,324.11,308.23,1.49,309.72,297.72,0.0,297.72
22,King T'Challa,320.3,336.35,0.0,336.35,320.3,0.0,320.3,309.49,0.0,309.49
23,"Krang, Utrom Warlord",337.69,355.72,0.0,355.72,337.69,0.0,337.69,326.47,0.0,326.47
24,Warren Soultrader,351.34,369.95,0.0,369.95,351.34,0.0,351.34,340.25,0.0,340.25
25,Flooded Strand,366.5,385.53,0.0,385.53,366.5,1.49,367.99,355.32,0.0,355.32
26,Super Shredder,387.38,407.07,0.0,407.07,387.38,1.49,388.87,375.79,0.0,375.79
27,Urza's Incubator,404.68,425.72,0.0,425.72,404.68,1.49,406.17,393.31,0.0,393.31
28,Sink into Stupor,411.54,433.05,0.0,433.05,411.54,1.49,413.03,399.72,0.0,399.72
29,Voice of Victory,431.54,454.49,0.0,454.49,431.54,1.49,433.03,418.75,0.0,418.75
30,Monument to Endurance,449.94,474.23,0.0,474.23,449.94,0.0,449.94,436.1,0.0,436.1
31,Steam Vents,461.87,488.1,0.0,488.1,461.87,0.0,461.87,447.54,0.0,447.54
32,Chronicle of Victory,481.51,508.3,0.0,508.3,481.51,0.0,481.51,465.8,0.0,465.8
33,Sol Ring,484.25,511.11,0.0,511.11,484.25,1.49,485.74,468.51,0.0,468.51
34,"Witherbloom, the Balancer",494.77,521.7,0.0,521.7,494.77,1.49,496.26,478.64,0.0,478.64
35,Professor Dellian Fel,504.51,532.24,0.0,532.24,504.51,1.49,506.0,487.67,0.0,487.67
36,"Loki, God of Mischief",509.98,538.31,0.0,538.31,509.98,1.49,511.47,492.82,0.0,492.82
37,The Earth Crystal,522.51,551.39,0.0,551.39,522.51,1.49,524.0,505.09,0.0,505.09
38,Talon Gates of Madara,541.64,570.63,0.0,570.63,541.64,1.49,543.13,524.11,0.0,524.11
39,"Cloud, Midgar Mercenary",562.97,592.11,0.0,592.11,562.97,0.0,562.97,546.04,0.0,546.04
40,Malakir Rebirth,576.89,607.2,0.0,607.2,576.89,0.0,576.89,560.72,0.0,560.72
41,Rat Colony,583.27,614.15,0.0,614.15,583.27,1.49,584.76,566.98,0.0,566.98
42,Summon: Bahamut,605.2,637.8,0.0,637.8,605.2,1.49,606.69,587.62,0.0,587.62
43,Sacred Foundry,616.9,649.67,0.0,649.67,616.9,1.49,618.39,598.24,0.0,598.24
44,"Shang-Chi, Master of Kung Fu",627.94,661.4,0.0,661.4,627.94,1.49,629.43,609.04,0.0,609.04
45,Riverpyre Verge,650.65,685.38,0.0,685.38,650.65,1.49,652.14,630.53,0.0,630.53
46,Redirect Lightning,662.21,697.65,0.0,697.65,662.21,1.49,663.7,641.6,0.0,641.6
47,Heaven-Sent Marvel - Archangel of Thune (Borderless),684.34,721.9,0.0,721.9,684.34,0.0,684.34,662.68,0.0,662.68
48,"Prismari, the Inspiration",693.64,731.77,0.0,731.77,693.64,0.0,693.64,671.66,0.0,671.66
49,Decorum Dissertation,702.96,741.89,0.0,741.89,702.96,1.49,704.45,680.99,0.0,680.99
50,Faerie Mastermind,713.7,753.21,0.0,753.21,713.7,1.49,715.19,691.46,0.0,691.46
51,Donnie's Bo - Shadowspear (Borderless),732.57,773.32,0.0,773.32,732.57,1.49,734.06,709.68,0.0,709.68
52,"Tippy-Toe, Terrific Partner",748.57,790.65,0.0,790.65,748.57,1.49,750.06,724.71,0.0,724.71
53,"Thor, God of Thunder",757.98,799.81,0.0,799.81,757.98,1.49,759.47,733.38,0.0,733.38
54,Cosmic Cube,768.39,810.57,0.0,810.57,768.39,1.49,769.88,743.33,0.0,743.33
55,Swordsman's Steel,792.51,835.3,0.0,835.3,792.51,0.0,792.51,766.69,0.0,766.69
56,"Prismari, the Inspiration (Borderless)",815.67,858.84,0.0,858.84,815.67,0.0,815.67,790.35,0.0,790.35
57,Watery Grave,826.39,869.95,0.0,869.95,826.39,1.49,827.88,800.79,0.0,800.79
58,"Tezzeret, Cruel Captain",845.7,891.74,0.0,891.74,845.7,1.49,847.19,820.08,0.0,820.08
59,Formidable Speaker,854.71,900.79,0.0,900.79,854.71,1.49,856.2,828.69,0.0,828.69
60,Mossborn Hydra,867.56,914.94,0.0,914.94,867.56,1.49,869.05,840.71,0.0,840.71
61,Windswept Heath,879.2,926.13,0.0,926.13,879.2,1.49,880.69,851.67,0.0,851.67
62,Blood Crypt,888.66,935.9,0.0,935.9,888.66,1.49,890.15,860.65,0.0,860.65
63,Akroma's Will,907.76,956.12,0.0,956.12,907.76,0.0,907.76,880.36,0.0,880.36
64,Bitterbloom Bearer,924.81,974.55,0.0,974.55,924.81,0.0,924.81,896.49,0.0,896.49
65,Violent Outburst,931.46,981.78,0.0,981.78,931.46,1.49,932.95,903.1,0.0,903.1
66,Steam Vents (Borderless),951.15,1003.28,0.0,1003.28,951.15,1.49,952.64,921.68,0.0,921.68
67,Culling the Weak,961.75,1014.21,0.0,1014.21,961.75,1.49,963.24,932.25,0.0,932.25
68,Breeding Pool,972.4,1025.13,0.0,1025.13,972.4,1.49,973.89,942.7,0.0,942.7
69,Starting Town,983.4,1037.18,0.0,1037.18,983.4,1.49,984.89,953.32,0.0,953.32
70,Overgrown Tomb,992.99,1047.16,0.0,1047.16,992.99,1.49,994.48,962.61,0.0,962.61
71,Ruby Medallion,1005.08,1059.04,0.0,1059.04,1005.08,0.0,1005.08,974.1,0.0,974.1
72,Cauldron of Essence,1009.29,1063.21,0.0,1063.21,1009.29,0.0,1009.29,978.23,0.0,978.23
73,Simulacrum Synthesizer (Borderless),1029.67,1083.62,0.0,1083.62,1029.67,1.49,1031.16,997.73,0.0,997.73
74,Fanatic of Rhonas,1038.6,1093.23,0.0,1093.23,1038.6,1.49,1040.09,1006.07,0.0,1006.07
75,Consecrated Sphinx (Retro Frame),1057.94,1113.68,0.0,1113.68,1057.94,1.49,1059.43,1024.11,0.0,1024.11
76,Traveling Chocobo,1076.89,1134.27,0.0,1134.27,1076.89,1.49,1078.38,1042.59,0.0,1042.59
77,Awaken the Woods,1095.25,1153.14,0.0,1153.14,1095.25,1.49,1096.74,1061.25,0.0,1061.25
78,Cool but Rude,1101.77,1160.04,0.0,1160.04,1101.77,1.49,1103.26,1067.6,0.0,1067.6
79,"Tamiyo, Inquisitive Student",1120.03,1179.81,0.0,1179.81,1120.03,1.49,1121.52,1085.25,0.0,1085.25
80,Bruce Banner,1129.61,1189.72,0.0,1189.72,1129.61,0.0,1129.61,1094.62,0.0,1094.62
81,Exalted Sunborn,1145.26,1206.53,0.0,1206.53,1145.26,1.49,1146.75,1110.4,0.0,1110.4
82,Aetherflux Reservoir,1167.76,1229.37,0.0,1229.37,1167.76,1.49,1169.25,1132.37,0.0,1132.37
83,Improvisation Capstone (Borderless),1188.5,1250.75,0.0,1250.75,1188.5,1.49,1189.99,1152.24,0.0,1152.24
84,Enduring Vitality,1198.18,1260.72,0.0,1260.72,1198.18,1.49,1199.67,1161.94,0.0,1161.94
