name,productId,set
Esper Sentinel,240035,
Faerie Mastermind,687365,
Grand Abolisher,544936,
Hexing Squelcher,671005,
King T'Challa,696324,
"Lotho, Corrupt Shirriff",498682,
Memnite,36237,
Mockingbird,559141,
Opposition Agent,226314,
Orcish Bowmasters,498367,
Professional Face-Breaker,631136,
"Ragavan, Nimble Pilferer",239857,
Ranger-Captain of Eos,190873,
Simian Spirit Guide,233914,
Tataru Taru,631106,
Thassa's Oracle,206926,
Valley Floodcaller,559146,
Voice of Victory,623897,
Arcane Signet,687531,
Chrome Mox,11467,
Lion's Eye Diamond,5129,
Lotus Petal,5615,
Mana Vault,1492,
Mox Amber,162125,
Mox Diamond,5382,
Mox Opal,36238,
Sol Ring,687542,
Wishclaw Talisman,591020,
Ad Nauseam,688831,
An Offer You Can't Refuse,590828,
Borne Upon a Wind,498680,
Brain Freeze,689149,
Cabal Ritual,9616,
Chain of Vapor,10327,
Commandeer,544727,
Culling the Weak,688899,
Dark Ritual,1381,
Deflecting Swat,212191,
Demonic Consultation,4644,
Dispel,105594,
Enlightened Tutor,5051,
Fierce Guardianship,212218,
Final Fortune,5063,
Flusterstorm,690169,
Force of Negation,190647,
Force of Will,686637,
Into the Flood Maw,559137,
Intuition,5593,
Mental Misstep,39543,
Mindbreak Trap,544838,
Mystical Tutor,5159,
Pact of Negation,233786,
Rain of Filth,6992,
Red Elemental Blast,1537,
Silence,69953,
Swan Song,642791,
Tainted Pact,235648,
Vampiric Tutor,686552,
Beseech the Mirror,689922,
Demonic Tutor,1388,
Diabolic Intent,452124,
Gamble,461900,
Gitaxian Probe,39521,
Imperial Seal,276288,
Mnemonic Betrayal,176839,
Rite of Flame,215322,
Sevinne's Reclamation,687520,
Mystic Remora,4815,
Necropotence,509515,
Rhystic Study,7357,
Smothering Tithe,183033,
Underworld Breach,206642,
Ancient Tomb,5457,
Arid Mesa,238607,
Badlands,1339,
Bloodstained Mire,541275,
Cavern of Souls,58842,
City of Brass,679620,
City of Traitors,4303,
Command Tower,687664,
Exotic Orchard,687675,
Flooded Strand,541276,
Gemstone Caverns,14244,
Mana Confluence,82224,
Marsh Flats,238608,
Misty Rainforest,238609,
"Otawara, Soaring City",262434,
Plateau,1527,
Polluted Delta,541274,
Scalding Tarn,238610,
Scrubland,1556,
Starting Town,631607,
Tarnished Citadel,9604,
Tundra,1597,
Underground Sea,1599,
Verdant Catacombs,238611,
Volcanic Island,1608,
Windswept Heath,541272,
"Kraum, Ludevic's Opus",123979,
Tymna the Weaver,124011,
Abhorrent Oculus,578053,
Archivist of Oghma,272914,
Avacyn's Pilgrim,55906,
Badgermole Cub,660570,
Biomancer's Familiar,182952,
Birds of Paradise,698193,
Deathrite Shaman,66547,
Devoted Druid,671202,
Elvish Spirit Guide,457270,
Enduring Vitality,578080,
Eternal Witness,553530,
Formidable Speaker,656667,
Hazel's Brewmaster,560002,
High Fae Trickster,590835,
Noble Hierarch,583112,
Oboro Breezecaller,12498,
The Cabbage Merchant,648732,
Chord of Calling,91110,
Crop Rotation,688886,
Deadly Rollick,625928,
Force of Vigor,190734,
Misdirection,82890,
Orim's Chant,548578,
Snap,458224,
Swords to Plowshares,624152,
Trickbind,14406,
Veil of Summer,689366,
Culling Ritual,687618,
Eldritch Evolution,120003,
Finale of Devastation,188701,
Nature's Rhythm,624738,
Neoform,188217,
Swift Reconfiguration,263102,
Training Grounds,495646,
Bayou,1342,
"Boseiju, Who Endures",262050,
Emergence Zone,187125,
Gaea's Cradle,6883,
Savannah,1552,
Shifting Woodland,552727,
Talon Gates of Madara,553235,
Tropical Island,1595,
"Thrasios, Triton Hero",124661,
"Birgi, God of Storytelling",230903,
Chromatic Star,452387,
Defense Grid,451966,
Grim Monolith,6323,
Grinding Station,11802,
Paradise Mantle,583150,
Springleaf Drum,671537,
Talisman of Dominance,631296,
Talisman of Indulgence,631550,
Vexing Bauble,552814,
Daze,688901,
Flare of Duplication,552312,
Pyroblast,4848,
Snapback,233897,
Grim Tutor,215341,
Infernal Plunge,56297,
Jeska's Will,689151,
Last Chance,457153,
Praetor's Grasp,39423,
Warrior's Oath,277214,
Wheel of Fortune,1624,
Wheel of Misfortune,226941,
Windfall,525814,
Yawgmoth's Will,7118,
Cool but Rude,673622,
Necrodominance,552829,
Blood Crypt,656687,
Gemstone Mine,6036,
Phyrexian Tower,552852,
Undercity Sewers,532905,
Watery Grave,638914,
Wooded Foothills,541277,
"Rograkh, Son of Rohgahh",226641,
"Silas Renn, Seeker Adept",123981,
Clever Impersonator,92948,
Consecrated Sphinx,39058,
Delighted Halfling,498414,
Drift of Phantasms,531162,
Elvish Mystic,687499,
Endurance,671173,
Flesh Duplicate,519221,
Fyndhorn Elves,226624,
Gene Pollinator,644609,
Hullbreaker Horror,253668,
Llanowar Elves,557921,
"Nezahal, Primal Tide",155688,
The Unagi of Kyoshi Island,661945,
Trophy Mage,125849,
"Wan Shi Tong, Librarian",660516,
Basalt Monolith,499661,
Fellwar Stone,687597,
Imposter Mech,263105,
Mirage Mirror,553284,
Talisman of Curiosity,615190,
The One Ring,487805,
Disrupting Shoal,180823,
Dizzy Spell,13259,
Dramatic Reversal,123110,
Sink into Stupor,552582,
Sudden Substitution,196533,
Twincast,32748,
Hidden Strings,67963,
Transmute Artifact,3330,
Copy Artifact,1372,
Copy Enchantment,514021,
Counterbalance,14019,
Mirrormade,199057,
Sylvan Library,1945,
Invasion of Ikoria,490335,
Botanical Sanctum,544278,
Breeding Pool,638910,
Forest,208389,
Island,222819,
Rejuvenating Springs,697516,
Waterlogged Grove,519273,
Willowrush Verge,614435,
