name,productId,set,tcg,ck,mp
Esper Sentinel,240035,,57.79,69.99,62.77
Faerie Mastermind,687365,,11.17,14.99,9.88
Grand Abolisher,544936,,17.71,20.99,16.49
Hexing Squelcher,671005,,20.38,27.99,19.52
King T'Challa,696324,,14.33,16.99,
"Lotho, Corrupt Shirriff",498682,,11.89,16.99,12.34
Memnite,36237,,2.98,2.79,1.64
Mockingbird,559141,,3.33,4.99,2.95
Opposition Agent,226314,,17.99,22.99,18.75
Orcish Bowmasters,498367,,49.47,54.99,50.54
Professional Face-Breaker,631136,,6.13,7.99,5.39
"Ragavan, Nimble Pilferer",239857,,43.41,54.99,46.33
Ranger-Captain of Eos,190873,,37.83,54.99,38.88
Simian Spirit Guide,233914,,3.25,3.99,3.25
Tataru Taru,631106,,8.4,9.99,8.3
Thassa's Oracle,206926,,23.95,27.99,19.39
Valley Floodcaller,559146,,3.6,5.49,3.6
Voice of Victory,623897,,17.28,27.99,17.58
Arcane Signet,687531,,0.48,0.79,0.39
Chrome Mox,11467,,176.05,54.99,39.59
Lion's Eye Diamond,5129,,816.91,899.99,890.91
Lotus Petal,5615,,33.98,42.99,35.07
Mana Vault,1492,,101.47,109.99,93.78
Mox Amber,162125,,75.78,94.99,81.27
Mox Diamond,5382,,1128.58,1499.99,1405.65
Mox Opal,36238,,246.35,249.99,229.24
Sol Ring,687542,,1.38,2.29,1.35
Wishclaw Talisman,591020,,1.57,3.49,2.04
Ad Nauseam,688831,,10.84,9.99,10.42
An Offer You Can't Refuse,590828,,2.64,4.49,2.24
Borne Upon a Wind,498680,,4.11,4.99,3.83
Brain Freeze,689149,,3.13,4.49,2.75
Cabal Ritual,9616,,13.16,18.99,13.54
Chain of Vapor,10327,,13.35,10.99,9.77
Commandeer,544727,,2.38,4.49,1.82
Culling the Weak,688899,,10.56,9.99,7.29
Dark Ritual,1381,,4.66,4.49,3.63
Deflecting Swat,212191,,65.34,94.99,68.48
Demonic Consultation,4644,,8.33,8.99,5.21
Dispel,105594,,0.38,0.39,0.2
Enlightened Tutor,5051,,36.89,37.99,25.1
Fierce Guardianship,212218,,53.89,79.99,56.83
Final Fortune,5063,,21.05,10.99,9.32
Flusterstorm,690169,,8.69,7.49,6.18
Force of Negation,190647,,52.12,69.99,48.95
Force of Will,686637,,64.37,32.99,20.25
Into the Flood Maw,559137,,2.56,3.99,1.92
Intuition,5593,,356.55,499.99,416.8
Mental Misstep,39543,,8.62,7.99,6.08
Mindbreak Trap,544838,,9.23,10.99,6.76
Mystical Tutor,5159,,18.02,20.99,16.63
Pact of Negation,233786,,17.24,21.99,16.38
Rain of Filth,6992,,9.44,8.99,4.86
Red Elemental Blast,1537,,3.62,4.99,3.48
Silence,69953,,10.59,11.99,7.81
Swan Song,642791,,8.71,13.99,8.66
Tainted Pact,235648,,32.54,37.99,31.26
Vampiric Tutor,686552,,57.62,54.99,48.25
Beseech the Mirror,689922,,26.06,23.99,20.23
Demonic Tutor,1388,,63.94,69.99,61.47
Diabolic Intent,452124,,18.05,18.99,15.08
Gamble,461900,,17.55,19.99,16.67
Gitaxian Probe,39521,,3.99,4.99,3.34
Imperial Seal,276288,,163.39,199.99,171.93
Mnemonic Betrayal,176839,,8.62,9.49,8.33
Rite of Flame,215322,,6.1,5.99,5.19
Sevinne's Reclamation,687520,,0.65,0.99,0.15
Mystic Remora,4815,,9.16,11.99,10.31
Necropotence,509515,,38.92,24.99,32.08
Rhystic Study,7357,,61.53,74.99,58.31
Smothering Tithe,183033,,50.01,59.99,53.14
Underworld Breach,206642,,9.89,10.99,7.8
Ancient Tomb,5457,,127.73,57.99,70.84
Arid Mesa,238607,,28.7,39.99,30.72
Badlands,1339,,533.06,279.99,250.16
Bloodstained Mire,541275,,17.8,20.99,13.54
Cavern of Souls,58842,,52.19,54.99,48.84
City of Brass,679620,,12.07,15.99,10.24
City of Traitors,4303,,538.42,57.99,90.04
Command Tower,687664,,0.26,0.59,0.2
Exotic Orchard,687675,,0.24,0.49,0.15
Flooded Strand,541276,,17.61,18.99,14.06
Gemstone Caverns,14244,,50.65,69.99,55.94
Mana Confluence,82224,,32.7,47.99,35.06
Marsh Flats,238608,,30.51,42.99,29.69
Misty Rainforest,238609,,35.53,39.99,36.45
"Otawara, Soaring City",262434,,27.2,42.99,28.13
Plateau,1527,,375.14,199.99,255.27
Polluted Delta,541274,,18.69,27.99,18.72
Scalding Tarn,238610,,38.31,44.99,39.58
Scrubland,1556,,435.57,299.99,304.14
Starting Town,631607,,7.83,10.99,7.43
Tarnished Citadel,9604,,18.74,5.49,4.22
Tundra,1597,,670.58,279.99,318.64
Underground Sea,1599,,987.2,329.99,573.07
Verdant Catacombs,238611,,26.94,37.99,29.06
Volcanic Island,1608,,871.87,499.99,386.56
Windswept Heath,541272,,11.46,12.99,9.37
"Kraum, Ludevic's Opus",123979,,8.98,2.99,2.37
Tymna the Weaver,124011,,28.69,13.99,11.12
Abhorrent Oculus,578053,,14.28,21.99,13.8
Archivist of Oghma,272914,,6.87,9.49,6.4
Avacyn's Pilgrim,55906,,0.41,1.79,0.38
Badgermole Cub,660570,,49.35,79.99,48.97
Biomancer's Familiar,182952,,1.63,2.99,1.23
Birds of Paradise,698193,,9.12,12.99,5.48
Deathrite Shaman,66547,,7.01,5.99,5.75
Devoted Druid,671202,,0.36,0.79,0.31
Elvish Spirit Guide,457270,,3.04,2.49,2.44
Enduring Vitality,578080,,15.55,16.99,15.1
Eternal Witness,553530,,1.89,1.49,1.26
Formidable Speaker,656667,,7.73,10.99,7.11
Hazel's Brewmaster,560002,,2.96,3.99,1.85
High Fae Trickster,590835,,4.59,8.99,4.27
Noble Hierarch,583112,,11.71,14.99,10.96
Oboro Breezecaller,12498,,2.12,0.99,1.52
The Cabbage Merchant,648732,,24.05,37.99,22.85
Chord of Calling,91110,,6.05,7.99,5.47
Crop Rotation,688886,,3.94,3.49,3.07
Deadly Rollick,625928,,26.62,24.99,26.03
Force of Vigor,190734,,8.5,7.49,3.9
Misdirection,82890,,11.76,16.99,11.46
Orim's Chant,548578,,5.01,8.99,4.86
Snap,458224,,3.31,3.99,3.06
Swords to Plowshares,624152,,1.41,2.29,1.29
Trickbind,14406,,12.35,10.99,8.86
Veil of Summer,689366,,4.28,6.49,3.11
Culling Ritual,687618,,0.49,0.59,0.15
Eldritch Evolution,120003,,3.63,5.49,2.98
Finale of Devastation,188701,,48.11,69.99,50.5
Nature's Rhythm,624738,,5.22,6.99,4.07
Neoform,188217,,0.74,0.99,0.48
Swift Reconfiguration,263102,,3.65,5.49,4.15
Training Grounds,495646,,8.81,11.99,7.29
Bayou,1342,,460.17,229.99,247.48
"Boseiju, Who Endures",262050,,50.05,69.99,42.71
Emergence Zone,187125,,3.93,5.99,3.74
Gaea's Cradle,6883,,1622.57,329.99,468.88
Savannah,1552,,405.33,279.99,241.79
Shifting Woodland,552727,,5.11,7.49,3.64
Talon Gates of Madara,553235,,29.32,29.99,30.99
Tropical Island,1595,,579.93,349.99,380.84
"Thrasios, Triton Hero",124661,,33.76,23.99,19.69
"Birgi, God of Storytelling",230903,,32.57,42.99,
Chromatic Star,452387,,0.2,0.35,0.15
Defense Grid,451966,,6.41,6.49,6.76
Grim Monolith,6323,,470.23,42.99,51.52
Grinding Station,11802,,19.0,16.99,12.84
Paradise Mantle,583150,,8.49,10.99,7.48
Springleaf Drum,671537,,0.36,0.99,0.15
Talisman of Dominance,631296,,1.64,2.49,0.86
Talisman of Indulgence,631550,,2.16,2.79,1.91
Vexing Bauble,552814,,2.32,4.49,1.67
Daze,688901,,1.19,2.29,0.87
Flare of Duplication,552312,,1.57,2.29,0.72
Pyroblast,4848,,7.96,4.49,2.98
Snapback,233897,,0.33,0.99,0.3
Grim Tutor,215341,,25.66,24.99,24.76
Infernal Plunge,56297,,0.55,0.69,0.4
Jeska's Will,689151,,45.68,47.99,40.62
Last Chance,457153,,5.19,4.49,2.62
Praetor's Grasp,39423,,11.03,15.99,11.45
Warrior's Oath,277214,,17.32,21.99,18.15
Wheel of Fortune,1624,,379.7,249.99,260.47
Wheel of Misfortune,226941,,7.8,10.99,7.8
Windfall,525814,,5.4,6.99,4.57
Yawgmoth's Will,7118,,245.26,47.99,40.47
Cool but Rude,673622,,7.01,12.99,7.13
Necrodominance,552829,,2.51,4.99,1.8
Blood Crypt,656687,,9.06,12.99,9.37
Gemstone Mine,6036,,12.84,4.49,2.04
Phyrexian Tower,552852,,26.08,42.99,25.41
Undercity Sewers,532905,,13.56,15.99,8.67
Watery Grave,638914,,9.07,14.99,9.27
Wooded Foothills,541277,,16.61,22.99,15.63
"Rograkh, Son of Rohgahh",226641,,2.36,2.99,2.07
"Silas Renn, Seeker Adept",123981,,9.63,2.29,1.68
Clever Impersonator,92948,,3.06,4.99,2.43
Consecrated Sphinx,39058,,31.26,27.99,28.98
Delighted Halfling,498414,,29.68,37.99,28.64
Drift of Phantasms,531162,,0.25,0.69,0.25
Elvish Mystic,687499,,0.43,0.99,0.4
Endurance,671173,,3.78,6.99,3.61
Flesh Duplicate,519221,,7.77,7.99,8.01
Fyndhorn Elves,226624,,1.52,3.99,2.0
Gene Pollinator,644609,,0.24,0.35,0.15
Hullbreaker Horror,253668,,6.55,8.49,5.86
Llanowar Elves,557921,,0.23,0.59,0.15
"Nezahal, Primal Tide",155688,,7.64,11.99,7.81
The Unagi of Kyoshi Island,661945,,1.66,2.49,0.72
Trophy Mage,125849,,0.61,1.79,0.56
"Wan Shi Tong, Librarian",660516,,35.87,54.99,34.9
Basalt Monolith,499661,,4.61,4.99,3.09
Fellwar Stone,687597,,0.75,1.29,0.56
Imposter Mech,263105,,6.66,11.99,6.76
Mirage Mirror,553284,,0.49,0.49,0.15
Talisman of Curiosity,615190,,0.39,0.79,0.2
The One Ring,487805,,106.14,109.99,93.78
Disrupting Shoal,180823,,16.76,14.99,14.21
Dizzy Spell,13259,,2.63,2.49,2.28
Dramatic Reversal,123110,,0.63,0.99,0.25
Sink into Stupor,552582,,5.52,10.99,
Sudden Substitution,196533,,5.31,6.99,5.15
Twincast,32748,,6.55,9.49,7.6
Hidden Strings,67963,,0.31,0.59,0.27
Transmute Artifact,3330,,396.45,649.99,364.7
Copy Artifact,1372,,65.02,79.99,60.42
Copy Enchantment,514021,,1.76,2.29,1.04
Counterbalance,14019,,5.98,3.99,2.69
Mirrormade,199057,,2.49,3.99,1.54
Sylvan Library,1945,,34.57,27.99,26.02
Invasion of Ikoria,490335,,12.41,15.99,
Botanical Sanctum,544278,,1.52,2.29,0.95
Breeding Pool,638910,,9.41,14.99,8.28
Forest,208389,,0.67,0.35,0.15
Island,222819,,0.84,0.35,0.15
Rejuvenating Springs,697516,,3.72,6.99,3.9
