productId,name,set,key,tcg_market
582920,Axgard Cavalry,The List Reprints,axgard cavalry,0.07
457587,Emerald Charm,Dominaria Remastered,emerald charm,0.1
531152,Dimir House Guard,Ravnica Remastered,dimir house guard,0.12
68394,Sudden Shock,Modern Masters,sudden shock,0.13
591087,Three Tree Mascot,Foundations,three tree mascot,0.15
507460,"Tetsuko Umezawa, Fugitive",Commander Masters,tetsuko umezawa fugitive,0.15
491763,Flywheel Racer,March of the Machine,flywheel racer,0.16
128935,Wingcrafter,Modern Masters 2017,wingcrafter,0.16
110689,Crumbling Vestige,Oath of the Gatewatch,crumbling vestige,0.16
507454,Impulsive Pilferer,Commander Masters,impulsive pilferer,0.16
57853,Young Wolf,Dark Ascension,young wolf,0.17
251639,Wild Slash,Unique and Miscellaneous Promos,wild slash,0.17
552176,Basking Broodscale,Modern Horizons 3,basking broodscale,0.17
244010,Mishra's Factory,Commander: Adventures in the Forgotten Realms,mishras factory,0.17
624397,Mardu Devotee,Tarkir: Dragonstorm,mardu devotee,0.18
526138,Abrade,The Lost Caverns of Ixalan,abrade,0.18
503606,"Rishkar, Peema Renegade",Commander Masters,rishkar peema renegade,0.18
198858,Claim the Firstborn,Throne of Eldraine,claim the firstborn,0.19
534654,Light Up the Stage,Ravnica: Clue Edition,light up the stage,0.19
583403,Plundering Barbarian,The List Reprints,plundering barbarian,0.19
452387,Chromatic Star,The Brothers' War: Retro Frame Artifacts,chromatic star,0.2
558679,Barkform Harvester,Bloomburrow,barkform harvester,0.2
591108,Command Tower,Commander: Foundations,command tower,0.2
525731,Angrath's Marauders,Commander: The Lost Caverns of Ixalan,angraths marauders,0.21
13194,Auratouched Mage,Ravnica: City of Guilds,auratouched mage,0.21
226644,"Dargo, the Shipwrecker",Commander Legends,dargo the shipwrecker,0.21
239750,Mogg Salvage,Modern Horizons 2,mogg salvage,0.21
552637,Unstable Amulet,Modern Horizons 3,unstable amulet,0.22
583322,Wall of Roots,The List Reprints,wall of roots,0.22
556335,Shao Jun,Universes Beyond: Assassin's Creed,shao jun,0.22
671468,Glamer Gifter,Lorwyn Eclipsed,glamer gifter,0.22
591019,Vile Entomber,Foundations,vile entomber,0.23
111039,Holdout Settlement,Oath of the Gatewatch,holdout settlement,0.23
557921,Llanowar Elves,Foundations,llanowar elves,0.23
