productId,name,set,key
448626,Animate Dead,Judge Promos,animate dead
38233,Bloodstained Mire,Judge Promos,bloodstained mire
201090,Chalice of the Void,Judge Promos,chalice of the void
111644,Command Beacon,Judge Promos,command beacon
58133,Command Tower,Judge Promos,command tower
38236,Dark Ritual,Judge Promos,dark ritual
38238,Demonic Tutor,Judge Promos,demonic tutor
206249,Enlightened Tutor,Judge Promos,enlightened tutor
79288,Entomb,Judge Promos,entomb
38241,Flooded Strand,Judge Promos,flooded strand
57648,Flusterstorm,Judge Promos,flusterstorm
185031,Food Chain,Judge Promos,food chain
82619,Force of Will,Judge Promos,force of will
206252,Gamble,Judge Promos,gamble
38243,Gemstone Mine,Judge Promos,gemstone mine
37964,Gaea's Cradle,Judge Promos,gaeas cradle
240896,Grand Arbiter Augustin IV,Judge Promos,grand arbiter augustin iv
279253,Growing Rites of Itlimoc,Judge Promos,growing rites of itlimoc
67748,Imperial Recruiter,Judge Promos,imperial recruiter
126214,Imperial Seal,Judge Promos,imperial seal
57645,Goblin Welder,Judge Promos,goblin welder
38251,Intuition,Judge Promos,intuition
247903,"K'rrik, Son of Yawgmoth",Judge Promos,krrik son of yawgmoth
38253,Lightning Bolt,Judge Promos,lightning bolt
119727,Mana Drain,Judge Promos,mana drain
38260,Mishra's Factory,Judge Promos,mishras factory
188710,Mox Opal,Judge Promos,mox opal
38261,Natural Order,Judge Promos,natural order
67377,Noble Hierarch,Judge Promos,noble hierarch
38263,Orim's Chant,Judge Promos,orims chant
38267,Polluted Delta,Judge Promos,polluted delta
185032,Rhystic Study,Judge Promos,rhystic study
279245,Smothering Tithe,Judge Promos,smothering tithe
206250,Spellseeker,Judge Promos,spellseeker
38270,Sol Ring,Judge Promos,sol ring
267938,Stranglehold,Judge Promos,stranglehold
38273,Survival of the Fittest,Judge Promos,survival of the fittest
67747,Swords to Plowshares,Judge Promos,swords to plowshares
279252,Training Grounds,Judge Promos,training grounds
38278,Vampiric Tutor,Judge Promos,vampiric tutor
38280,Wasteland,Judge Promos,wasteland
38232,Wheel of Fortune,Judge Promos,wheel of fortune
38283,Yawgmoth's Will,Judge Promos,yawgmoths will
201092,"Yuriko, the Tiger's Shadow",Judge Promos,yuriko the tigers shadow
38281,Windswept Heath,Judge Promos,windswept heath
38282,Wooded Foothills,Judge Promos,wooded foothills
38053,Mutavault,Champs Promos,mutavault
513295,"Greymond, Avacyn's Stalwart",SLX Cards,greymond avacyns stalwart
534131,Chaos Warp,WPN & Gateway Promos,chaos warp
668657,Command Tower,WPN & Gateway Promos,command tower
639905,Culling Ritual,WPN & Gateway Promos,culling ritual
38201,Llanowar Elves,WPN & Gateway Promos,llanowar elves
