deck,cards_total,cards_priced,tcg,ck,mp,ck_pct,mp_pct
Tymna the Weaver,100,99,9312.269999999999,7601.91,7119.23,-18.366735500581477,-23.550004456485894
"Thrasios, Triton Hero",100,99,8522.75,6043.209999999999,5826.649999999999,-29.09319175148868,-31.63415564225164
"Rograkh, Son of Rohgahh",100,99,8281.52,6326.969999999999,5895.150000000001,-23.60134371468041,-28.81560389880118
"Kraum, Ludevic's Opus",100,99,9312.269999999999,7601.91,7119.23,-18.366735500581477,-23.550004456485894
"Kinnan, Bonder Prodigy",100,97,4618.19,4713.61,3890.3700000000003,2.066177441811612,-15.759853968762638
"Silas Renn, Seeker Adept",100,99,8281.52,6326.969999999999,5895.150000000001,-23.60134371468041,-28.81560389880118
"Sisay, Weatherlight Captain",100,97,9905.529999999999,6638.7300000000005,6465.69,-32.97955788332375,-34.726460875894574
"Malcolm, Keen-Eyed Navigator",100,98,6727.889999999999,6033.14,5411.74,-10.326417346300243,-19.56259689144739
"Dargo, the Shipwrecker",100,96,6089.0199999999995,5620.58,5146.22,-7.69319200790931,-15.483608199677445
"Magda, Brazen Outlaw",100,96,1947.53,1464.92,1227.3700000000001,-24.780619553999163,-36.978121004554474
Vivi Ornitier,100,96,6565.419999999999,6446.219999999999,5716.34,-1.8155731088033922,-12.932607510258276
"Yoshimaru, Ever Faithful",100,97,6311.88,4871.71,4425.1900000000005,-22.81681527532209,-29.891094254009886
Vial Smasher the Fierce,100,99,8709.630000000001,6901.97,6494.58,-20.75472781277736,-25.43219401972301
"Tivit, Seller of Secrets",100,99,6628.61,5845.77,5218.950000000001,-11.810017484812041,-21.266298665934467
"Ishai, Ojutai Dragonspeaker",100,96,6913.42,6221.34,5547.150000000001,-10.010674890285854,-19.76257771117623
"Lumra, Bellow of the Woods",100,99,9090.199999999999,8985.009999999998,7705.359999999999,-1.1571802600602865,-15.234428285406265
"Tayam, Luminous Enigma",100,97,5748.209999999999,4089.4300000000003,3810.9799999999996,-28.857331238768225,-33.701447929007465
"Ob Nixilis, Captive Kingpin",100,100,6233.159999999998,5301.919999999999,4810.310000000001,-14.940094590865616,-22.82710535266217
"Glarb, Calamity's Augur",100,97,7586.309999999999,4959.93,4859.200000000001,-34.619993119184414,-35.947779618813335
"Yuriko, the Tiger's Shadow",100,89,3862.5899999999997,3596.01,3412.07,-6.901586759143463,-11.663676445079584
"Krark, the Thumbless",100,99,7206.62,6047.83,5586.460000000001,-16.07952132900028,-22.481551684423472
"Winota, Joiner of Forces",100,96,3464.08,3306.4999999999986,2924.95,-4.548971155400605,-15.563439643426246
"K'rrik, Son of Yawgmoth",100,100,4244.66,3818.6400000000003,3357.71,-10.036610706157845,-20.895666555154
Marneus Calgar,100,99,5893.07,5280.51,4915.430000000001,-10.394582110852236,-16.589655306996153
"Tevesh Szat, Doom of Fools",100,99,6366.629999999999,5635.33,5057.83,-11.486453586905466,-20.55718645500052
