deck,cards_priced,tcg,ck,mp,ck_pct,mp_pct
Tymna the Weaver,99,7029.7699999999995,7601.91,7119.23,8.138815352422624,1.2725878656058454
"Thrasios, Triton Hero",99,6564.38,6043.209999999999,5826.649999999999,-7.939363656582965,-11.238380471575404
"Rograkh, Son of Rohgahh",99,6508.74,6326.969999999999,5895.150000000001,-2.7927064224412157,-9.427170235713811
"Kraum, Ludevic's Opus",99,7029.7699999999995,7601.91,7119.23,8.138815352422624,1.2725878656058454
"Kinnan, Bonder Prodigy",97,4192.56,4713.61,3890.3700000000003,12.427967637910942,-7.20776804625336
"Silas Renn, Seeker Adept",99,6508.74,6326.969999999999,5895.150000000001,-2.7927064224412157,-9.427170235713811
"Sisay, Weatherlight Captain",97,7086.66,6638.7300000000005,6465.69,-6.320749125822312,-8.762520002370655
"Malcolm, Keen-Eyed Navigator",98,5478.209999999999,6033.14,5411.74,10.129768665312234,-1.2133525366862408
"Dargo, the Shipwrecker",96,5351.67,5620.58,5146.22,5.024786655380464,-3.8389885773973287
"Magda, Brazen Outlaw",96,1822.4899999999998,1464.92,1227.3700000000001,-19.619860739976613,-32.654225811938595
Vivi Ornitier,96,5696.97,6446.219999999999,5716.34,13.151728023844234,0.34000530106355065
"Yoshimaru, Ever Faithful",97,5299.83,4871.71,4425.1900000000005,-8.077994954555145,-16.503170856423687
Vial Smasher the Fierce,99,6465.529999999999,6901.97,6494.58,6.750258679489551,0.4493057800366129
"Tivit, Seller of Secrets",99,5399.719999999999,5845.77,5218.950000000001,8.260613513293302,-3.347766180468592
"Ishai, Ojutai Dragonspeaker",96,5660.719999999999,6221.34,5547.150000000001,9.903687163470387,-2.0062818864031273
"Lumra, Bellow of the Woods",99,8989.08,8985.009999999998,7705.359999999999,-0.04527715850789482,-14.280883026961611
"Tayam, Luminous Enigma",97,5114.359999999999,4089.4300000000003,3810.9799999999996,-20.040239638977287,-25.48471362985788
"Ob Nixilis, Captive Kingpin",100,5624.3899999999985,5301.919999999999,4810.310000000001,-5.733421757737278,-14.474102969388635
"Glarb, Calamity's Augur",97,6325.099999999999,4959.93,4859.200000000001,-21.58337417590235,-23.17591816730169
"Yuriko, the Tiger's Shadow",89,3165.47,3596.01,3412.07,13.601139799145168,7.790312339083938
"Krark, the Thumbless",99,5621.849999999999,6047.83,5586.460000000001,7.577221021549851,-0.6295080800803765
"Winota, Joiner of Forces",96,3188.92,3306.4999999999986,2924.95,3.687141728233967,-8.277724119764695
"K'rrik, Son of Yawgmoth",100,4099.92,3818.6400000000003,3357.71,-6.860621670666733,-18.103036156803064
Marneus Calgar,99,4659.849999999999,5280.51,4915.430000000001,13.319312853418053,5.484725903194354
"Tevesh Szat, Doom of Fools",99,5886.5599999999995,5635.33,5057.83,-4.2678576282242915,-14.078341170394925
