n_cards,vendor,cards,shipping,total
5,tcgplayer,15.6564,3.1893333333333334,18.84573333333333
5,cardkingdom,18.449487157041485,4.953406666666668,23.402893823708155
5,manapool,14.290553333333332,3.9155200000000017,18.206073333333332
10,tcgplayer,31.944180000000003,6.029833333333333,37.97401333333334
10,cardkingdom,37.57670636811843,4.690600000000002,42.26730636811843
10,manapool,29.108546666666665,3.5112000000000005,32.619746666666664
20,tcgplayer,62.85887999999999,7.576833333333333,70.43571333333333
20,cardkingdom,73.8621717894552,2.8609333333333336,76.72310512278854
20,manapool,57.22857333333334,1.7476200000000002,58.976193333333335
50,tcgplayer,155.05322666666666,16.25,171.30322666666666
50,cardkingdom,182.30117256781128,0.0,182.30117256781128
50,manapool,141.56129333333334,0.00266,141.56395333333333
75,tcgplayer,229.64096,26.0,255.64096
75,cardkingdom,270.0204399860208,0.0,270.0204399860208
75,manapool,210.06156666666666,0.0,210.06156666666666
100,tcgplayer,306.79642,35.75,342.54642
100,cardkingdom,360.0676393213415,0.0,360.0676393213415
100,manapool,281.8297333333333,0.0,281.8297333333333
