card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market,productId
Flow State,1.81,3.49,0.62,92.81767955801104,-65.74585635359117,7962.0,live,2.9874400000000003,65.05193370165748,$1-2,1.65,688679.0
Flashback,3.84,6.49,2.56,69.01041666666667,-33.33333333333333,4968.0,live,5.55544,44.672916666666666,$2-5,,688521.0
Erode,6.42,9.49,4.64,47.81931464174456,-27.72585669781932,5161.0,live,8.12344,26.533333333333346,$5-10,5.63,688651.0
Cauldron of Essence,3.53,3.99,2.61,13.031161473087831,-26.06232294617564,4333.0,live,3.4154400000000003,-3.2453257790368144,$2-5,2.78,689056.0
The Unbeatable Squirrel Girl,4.23,4.99,3.33,17.966903073286044,-21.27659574468085,4253.0,live,4.27144,0.9796690307328532,$2-5,4.37,696312.0
Arcane Signet,0.48,0.99,0.4,106.25,-16.66666666666666,8344.0,live,0.84744,76.55,$0-1,0.47,687531.0
Stock Up,1.0,0.79,0.31,-21.0,-69.0,6551.0,live,0.6762400000000001,-32.37599999999999,$1-2,,675591.0
Sol Ring,1.59,2.79,1.4,75.47169811320754,-11.949685534591206,8498.0,live,2.38824,50.20377358490566,$1-2,1.49,687542.0
Grave Researcher,2.05,2.79,1.77,36.097560975609774,-13.658536585365846,4095.0,live,2.38824,16.49951219512197,$2-5,,686543.0
Fabled Passage,1.1,1.79,0.93,62.72727272727272,-15.454545454545457,8855.0,live,1.53224,39.29454545454545,$1-2,1.05,687665.0
Return the Favor,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,4947.0,live,0.41944,-2.4558139534883754,$0-1,0.4,688928.0
Resonating Lute,1.65,1.29,0.76,-21.818181818181813,-53.93939393939393,3863.0,live,1.10424,-33.076363636363624,$1-2,1.61,688477.0
Tablet of Discovery,2.07,1.99,1.3,-3.864734299516901,-37.19806763285023,5808.0,live,1.70344,-17.708212560386464,$2-5,1.79,689495.0
Planar Engineering,1.53,0.79,0.52,-48.36601307189542,-66.01307189542483,3866.0,live,0.6762400000000001,-55.80130718954248,$1-2,1.36,688687.0
Hex Magic,1.19,2.99,0.95,151.2605042016807,-20.16806722689076,7470.0,live,2.55944,115.07899159663866,$1-2,1.38,697024.0
Captain America's Shield,1.34,2.29,0.81,70.89552238805969,-39.55223880597015,3997.0,live,1.96024,46.28656716417909,$1-2,0.99,696477.0
Sink into Stupor,5.74,9.99,5.3100000000000005,74.0418118466899,-7.4912891986062675,3599.0,live,8.55144,48.97979094076653,$5-10,,552582.0
Command Tower,0.33,0.79,0.21,139.3939393939394,-36.36363636363637,5335.0,live,0.6762400000000001,104.92121212121212,$0-1,0.24,687664.0
Scheming Silvertongue,1.19,0.99,0.37,-16.806722689075627,-68.90756302521008,3382.0,live,0.84744,-28.786554621848737,$1-2,,689052.0
Stormcarved Coast,2.47,3.49,1.39,41.29554655870445,-43.72469635627531,3294.0,live,2.9874400000000003,20.948987854251016,$2-5,2.0,686581.0
"Mole Man, Moloid Master",1.19,3.49,0.51,193.27731092436977,-57.14285714285714,4722.0,live,2.9874400000000003,151.04537815126054,$1-2,1.2,696570.0
Deathcap Glade,2.31,2.99,1.76,29.437229437229444,-23.80952380952381,3321.0,live,2.55944,10.798268398268393,$2-5,2.27,686571.0
Sundown Pass,2.17,3.49,1.23,60.829493087557616,-43.31797235023041,3253.0,live,2.9874400000000003,37.67004608294933,$2-5,1.97,686583.0
Mana Sculpt,0.89,0.79,0.15,-11.235955056179773,-83.14606741573034,3456.0,live,0.6762400000000001,-24.017977528089883,$0-1,0.73,688516.0
