Price,CardKingdom_pct,ManaPool_pct,Volume
0.1,250.0,50.0,97143
0.12,225.0,25.0,98728
0.12,191.7,25.0,83434
0.12,191.7,25.0,90167
0.13,169.2,15.4,87188
0.14,150.0,7.1,62646
0.15,133.3,0.0,80075
0.15,133.3,0.0,78327
0.15,133.3,0.0,87817
0.16,118.7,-6.3,99263
0.16,118.7,-6.3,64547
0.16,118.7,-6.3,86712
0.16,118.7,-6.3,105327
0.17,105.9,-11.8,93017
0.17,105.9,-11.8,104470
0.17,105.9,-11.8,105132
0.17,105.9,-11.8,106428
0.18,227.8,-5.6,94052
0.18,94.4,-16.7,95330
0.19,84.2,-21.1,89884
0.19,84.2,-21.1,84272
0.2,75.0,-25.0,102650
0.2,75.0,-25.0,106225
0.2,75.0,-25.0,91449
0.2,75.0,-25.0,101670
0.2,75.0,-25.0,105357
0.2,75.0,-25.0,105355
0.2,75.0,-25.0,80236
0.2,75.0,-25.0,78505
0.2,75.0,-10.0,56055
0.2,75.0,-25.0,102985
0.2,75.0,-25.0,102921
0.21,66.7,-28.6,99291
0.21,66.7,-28.6,105149
0.21,66.7,-28.6,94571
0.21,66.7,-28.6,96600
0.21,66.7,-28.6,87566
0.21,66.7,-28.6,104977
0.21,85.7,-28.6,95681
0.22,59.1,-31.8,98609
0.22,59.1,-31.8,80075
0.22,122.7,-31.8,78811
0.22,59.1,-31.8,96222
0.22,122.7,-31.8,98779
0.23,156.5,-34.8,106634
0.23,52.2,-34.8,98334
0.23,52.2,-34.8,94399
0.23,243.5,-34.8,95869
0.23,52.2,-34.8,101351
0.23,69.6,-34.8,101442
0.24,45.8,-37.5,105671
0.24,45.8,-37.5,98586
0.24,45.8,-37.5,98936
0.24,45.8,-37.5,99570
0.24,45.8,-37.5,98334
0.24,45.8,-37.5,102941
0.24,62.5,12.5,89400
0.24,104.2,-37.5,104549
0.25,40.0,-40.0,102235
0.25,176.0,-40.0,105537
0.25,40.0,-40.0,95167
0.25,176.0,0.0,103466
0.25,96.0,-40.0,100094
0.25,96.0,-40.0,100417
0.25,40.0,-40.0,106621
0.26,88.5,-42.3,94956
0.26,34.6,-42.3,77320
0.26,34.6,0.0,87477
0.26,34.6,-42.3,101408
0.26,50.0,-42.3,93857
0.26,50.0,-42.3,100205
0.26,34.6,-42.3,101643
0.26,88.5,-42.3,106408
0.26,34.6,-42.3,88251
0.27,81.5,-44.4,95826
0.27,44.4,3.7,93511
0.27,29.6,-3.7,86519
0.27,44.4,-44.4,97658
0.27,81.5,-44.4,103815
0.27,29.6,-44.4,84855
0.27,81.5,-44.4,104310
0.27,29.6,-44.4,103313
0.27,44.4,-44.4,98609
0.27,81.5,-44.4,100085
0.27,155.6,-44.4,100320
0.27,192.6,-44.4,104850
0.27,29.6,-44.4,106393
0.27,29.6,-44.4,106271
0.28,25.0,-46.4,105145
0.28,110.7,-7.1,89745
0.28,39.3,-46.4,103187
0.28,25.0,-46.4,100238
0.28,253.6,-46.4,102783
0.28,75.0,-46.4,91855
0.28,146.4,-46.4,106104
0.29,20.7,-48.3,106403
0.29,69.0,-48.3,99739
0.29,69.0,-48.3,90352
0.29,20.7,-48.3,104680
0.29,20.7,-48.3,103562
0.29,20.7,-48.3,101011
0.29,103.4,-48.3,101453
0.29,172.4,-48.3,105581
0.29,20.7,-48.3,93067
0.3,16.7,-50.0,101683
0.3,16.7,-50.0,102012
0.3,30.0,-16.7,92248
0.3,63.3,-50.0,106455
0.3,16.7,-50.0,104587
0.3,16.7,-50.0,101011
0.3,16.7,-50.0,106631
0.3,63.3,-50.0,81722
0.3,230.0,-50.0,101633
0.3,63.3,-50.0,104281
0.3,163.3,-10.0,98505
0.3,96.7,-50.0,101135
0.3,16.7,-50.0,105415
0.3,130.0,-33.3,105644
0.3,63.3,-50.0,105838
0.31,58.1,-51.6,101374
0.31,122.6,-51.6,104115
0.31,58.1,-19.4,74762
0.31,12.9,-51.6,89478
0.31,12.9,-51.6,103269
0.31,12.9,-51.6,101643
0.31,154.8,-19.4,104856
0.31,12.9,-51.6,98750
0.31,90.3,-12.9,102825
0.31,58.1,-51.6,106320
