nk,sk,tcg,name,set,sf,ck,mp
emeraldcharm,dominariaremastered,0.1,Emerald Charm,Dominaria Remastered,b5862e38-b48b-45e1-b0f6-d1d0d1124e50,0.35,0.15
axgardcavalry,jumpstart2022,0.1,Axgard Cavalry,Jumpstart 2022,5e16bc35-5237-4a13-9179-aaa0347ceffe,0.35,0.15
dimirhouseguard,ravnicaremastered,0.12,Dimir House Guard,Ravnica Remastered,a1974bac-4763-4f95-ae60-061e34d0283d,0.35,0.15
suddenshock,modernmasters,0.13,Sudden Shock,Modern Masters,066b6f51-d444-48f7-a7f0-743f2b8d0595,0.35,0.16
suddenshock,timespiralremastered,0.14,Sudden Shock,Time Spiral: Remastered,5b659a3b-0f66-40f2-8e2e-f13b694e270e,0.35,0.15
axgardcavalry,kaldheim,0.14,Axgard Cavalry,Kaldheim,2411c341-a470-4484-9248-7c1d3ca12978,0.35,0.15
threetreemascot,foundations,0.15,Three Tree Mascot,Foundations,40b8bf3a-1cb5-4ce2-ac25-9410f17130de,0.35,0.15
tetsukoumezawafugitive,masters,0.15,"Tetsuko Umezawa, Fugitive",Commander Masters,f3f03792-5d06-45f4-ab19-5a415abbc382,0.35,0.15
flywheelracer,marchofmachine,0.16,Flywheel Racer,March of the Machine,c694485d-a753-4e55-929c-d8e4a53c7d08,0.35,0.15
wingcrafter,modernmasters2017,0.16,Wingcrafter,Modern Masters 2017,0b79a71b-568f-4700-9b1d-e7965159da0a,0.35,0.15
crumblingvestige,oathofgatewatch,0.16,Crumbling Vestige,Oath of the Gatewatch,d491c13c-43e3-4ca3-b888-4edd34dfe14a,0.35,0.15
impulsivepilferer,masters,0.16,Impulsive Pilferer,Commander Masters,aea2e32d-d711-40ae-87d5-c16893bfc8ca,0.39,0.15
youngwolf,darkascension,0.17,Young Wolf,Dark Ascension,0c39aa40-ef5f-40f1-a6dd-fbce91172c50,0.35,0.15
baskingbroodscale,modernhorizons3,0.17,Basking Broodscale,Modern Horizons 3,5feba5d6-99a6-4e9b-8a7d-90d955868fc3,0.35,0.15
mardudevotee,tarkirdragonstorm,0.18,Mardu Devotee,Tarkir: Dragonstorm,da45e9b0-a4f6-413b-9e62-666c511eb5b0,0.35,0.15
