n_cards,order_value_mean,cardkingdom_gap_mean,cardkingdom_gap_p10,cardkingdom_gap_p90,cardkingdom_subgap_mean,manapool_gap_mean,manapool_gap_p10,manapool_gap_p90,manapool_subgap_mean
1,9.538625000000001,84.68052837409263,33.97190293742018,150.05959475566152,45.32868406585507,23.73622965107373,-2.510085163603759,48.511904761904745,-17.72457167100091
2,19.416675,58.87063627042436,30.33056205968505,92.30023558988762,41.079003661148434,4.191689311356044,-8.541549030679466,16.55418986064932,-13.776222839349538
3,28.570087500000003,49.32440618260248,27.341312576682963,71.83449019475705,39.367100816284534,-0.21169687301929194,-10.657660709884711,8.57519159285945,-11.624417907378364
4,38.166199999999996,43.611491482985436,25.715470343470002,63.53521114342785,38.24986424681766,-3.0598961195992036,-11.768314874011384,4.91805305264451,-11.77960118765923
5,47.725862500000005,40.39429022770703,24.807731223887053,57.53214853156413,38.141924696686246,-4.954364811822293,-13.548733040343057,2.7635686158275847,-11.396061664625327
6,57.130475000000004,38.587964066199326,25.389286705523155,53.44592247646162,37.997360445542526,-6.756992047897256,-14.559533520316306,0.9076967565307915,-11.180444906391251
7,67.563475,38.43900414730068,26.698857839577748,51.77219761779127,38.27827379054848,-8.477207564202624,-15.319328761398145,-2.4729334719663054,-10.655912182609637
8,77.3501875,37.56810324385543,26.579708699244065,49.20605710478005,37.52422637030063,-9.705935383435452,-16.00635124078641,-3.930820365782186,-10.861610988580908
9,88.1750875,34.694651818548664,24.44589889525094,46.237074298096346,37.09959779060314,-11.992752358867383,-18.340651255465612,-6.511682379666352,-10.791607514259361
10,97.71092499999999,35.417508346268676,25.32727902762051,45.71667800631231,37.57749359439527,-11.871737353475567,-17.36470565661216,-6.623927195023653,-10.584795996958153
11,108.319625,35.05204280690636,25.992385159914246,43.92664212736931,36.9791883753317,-11.864804541558943,-17.56150881100352,-6.8902177782250975,-10.630729788962686
12,118.743275,35.37158858568831,26.944491392651894,43.980896223191976,37.12450295581042,-11.501551954523874,-16.355742936723956,-6.680764741042346,-10.370250845626288
13,129.49643749999998,35.19206424679457,26.76388713423081,44.520492435205384,36.782162143069286,-11.461015045088436,-16.926060266199677,-6.798854865408054,-10.426347751908166
14,139.8836,35.45235735949646,27.495404411533066,43.87315491939306,36.817263444523704,-11.133778800604,-15.917604669105264,-6.673275348598021,-10.245768934374627
15,149.765925,35.7175466499191,27.88172182200219,43.943924492577565,36.778036928517615,-11.042432254607796,-15.450337773866892,-6.931390091452148,-10.355900285281809
16,160.08292500000002,35.927123106674024,28.466703566875815,43.63951487173253,36.56214337199623,-10.772391624414166,-15.369433772390705,-6.644780684776192,-10.362420154272336
17,170.5974625,35.43235356144779,28.271508866354562,43.50725358976918,36.93041840248585,-11.16730405965799,-15.160792983199672,-7.3927024023533265,-10.191988724419348
18,181.53259999999997,35.273569992789156,28.293019208094705,42.24602601577917,36.51736359858419,-11.143662935184045,-15.304529162691031,-7.4424663070526815,-10.331770213408285
19,193.9187,35.34089430238304,28.373961698849772,42.00914560735438,36.42764715841879,-11.09092435157781,-14.807790089066742,-7.58777396806145,-10.379783202676807
20,203.90298750000002,35.536680415243694,29.058986783563753,42.69359731233384,36.544467431607615,-10.866733358974436,-14.613074496489709,-7.337265514961287,-10.206005048549045
21,214.4968125,35.61044130305521,29.195079026492756,41.998643829544264,36.56830012797295,-10.860828022528585,-14.6208650224471,-7.578449481312921,-10.23319614562058
22,226.9953875,35.61224712445987,29.45418657860625,41.62682174221695,36.51442875596757,-10.54516080437224,-13.797663478155078,-7.4022894961972465,-9.951388052626221
23,235.52055000000001,35.85493319278728,29.580146081229664,42.05048167232403,36.71575861607039,-10.667056572158003,-14.045627724343559,-7.448519117808017,-10.102653915716436
24,248.2185125,35.848006183335926,30.384728598366035,41.875116287799926,36.61116193243576,-10.57146120314883,-13.81287227024067,-7.508509813947222,-10.070709375773403
25,261.7639125,34.70010621850793,29.064381968701767,40.33177358283519,36.043878255187956,-10.914183775075788,-14.017223586972909,-7.9437631190138065,-10.028916694380811
26,272.5567375,35.071713038919704,29.425286736091667,40.57272074379087,36.19015445372136,-10.936533038478517,-14.050956937534968,-7.966892907847891,-10.201760483141301
27,282.546025,35.48208800851019,30.154604769323786,41.2558334852535,36.3670151966405,-10.709630356010964,-13.784073118578721,-7.9105943778713455,-10.128489048581224
28,294.21714999999995,35.471868783860984,30.296478671048597,40.924358420879855,36.19749284100717,-10.587298274270577,-13.60172016164567,-7.683513314383581,-10.109548153743477
29,305.64373750000004,35.37532163033159,30.257769397788213,40.9567085501365,36.0451807071534,-10.574280498129918,-13.343531331371917,-8.026996611928414,-10.132557221898251
30,318.30465000000004,35.40151419694027,30.14926014229333,40.76047054069609,36.04058629175213,-10.345794595403854,-13.143907252632346,-7.67175971536858,-9.923254762023664
