n_cards,order_value_mean,cardkingdom_gap_mean,cardkingdom_gap_p10,cardkingdom_gap_p90,cardkingdom_subgap_mean,cardkingdom_win_rate,manapool_gap_mean,manapool_gap_p10,manapool_gap_p90,manapool_subgap_mean,manapool_win_rate
1,31.1522125,115.8076004478765,23.828689370485034,210.5530535038732,60.100270861461105,0.625,53.997334162450024,1.0879047254032115,133.8983050847458,-17.818109527049003,9.75
2,87.481025,72.45024528226696,20.844188353580407,154.4753372793687,45.555181075199016,1.125,19.182608628643653,-15.165989953263848,72.2942835170469,-12.224274000922385,22.5
3,107.31182499999998,55.75681057758923,17.00424057649666,107.44208133543779,41.924389260849836,1.25,6.7544850495725,-15.95198657161917,31.509089074952094,-9.24048085879658,30.75
4,159.723625,45.57100668936034,15.614229271526268,77.66193583596919,38.300565387439306,1.25,-0.3562275871381935,-22.720009057752577,13.2903130196667,-9.188550484484468,44.625
5,194.4782875,40.51519467703606,16.256720456384954,72.2091719019366,36.27491513859391,0.25,-2.7639466572249476,-21.259248682928888,10.01479522020692,-8.218195335716324,52.5
6,233.11058749999995,37.79822628971854,15.772404720641811,62.3735316970519,35.35160938364639,0.5,-5.031745663377526,-22.099524977355465,6.486575767946426,-8.71983917093186,63.87500000000001
7,298.48530000000005,35.86890173468025,16.579903873698502,57.555047713551694,34.679163273675016,0.375,-6.708617115377831,-22.936951719605986,4.061542088184952,-8.644690382638949,70.875
8,307.946925,34.687494071212335,14.946355664898999,57.26056608454286,34.02279014233911,0.0,-7.726835350418217,-23.322745595549907,3.216140594294219,-9.19426068892585,76.0
9,358.1615875,31.891293525891516,13.996214048427792,50.69742641883356,33.265180218494955,0.0,-9.20176252341243,-24.422594178266735,1.6927774194231284,-8.946246603827618,84.875
10,390.5886625,31.085342046315212,13.489743034588951,47.82270886888148,32.4274796955648,0.0,-9.213996000304919,-23.416749097680178,0.9344432380928955,-8.84998117568363,86.375
11,445.63903750000003,31.097695624719027,13.790318020060813,47.58991150194398,32.2764525426188,0.0,-9.929247304682818,-24.97978310539436,0.9471162458549001,-9.440276671830038,86.625
12,450.1609875,31.121647353562558,15.005275706142864,48.744195508127255,32.25659771301349,0.0,-9.671677497949936,-22.667511144584378,0.7274843061535675,-9.159597952711174,87.125
13,506.3537875,30.775914415017404,15.71683922722802,46.55129019567023,31.759487402320875,0.0,-10.370909701920926,-23.887633327098204,0.713932956730609,-9.82556041602624,86.875
14,567.0058,31.168667025190498,15.859982407162482,47.160638530678945,32.020012886893134,0.0,-10.680669770091981,-23.42400652911229,0.2660112392916037,-10.152222350968525,89.5
15,595.9162875000001,30.15690087815112,15.028065608271909,44.07255392023263,30.906247816625307,0.0,-11.214634568243168,-23.8855298110091,-0.4884067833950936,-10.716548128091418,91.25
16,592.790575,30.593868758714365,15.245926558720171,44.862138684072136,31.32722321569356,0.0,-10.25035605565349,-23.12529077703203,0.1884515199684742,-9.754766664427395,89.125
17,647.172575,30.23373709776627,15.801572722215344,45.53449445734217,31.518504394317944,0.0,-11.556598777960053,-23.47009331192851,-1.2227550924837878,-10.686543200469679,93.375
18,733.172925,29.496858809675082,15.231736567390426,43.76433197716529,30.610709898086633,0.0,-11.769974149122422,-23.99771421065535,-0.8163529636419831,-11.033237826102802,92.625
19,765.4663249999999,29.798162032184905,16.412643995404004,43.35700143381671,30.75246993008287,0.0,-11.962628090265593,-23.65649176396534,-1.1958091753348195,-11.305504177544526,93.5
20,753.09235,29.35568156497737,15.187060157572102,43.1979031978765,30.31892743312942,0.0,-11.84275455591151,-23.567055702612755,-1.3013878349232857,-11.182152479167007,93.75
21,816.0128625000001,29.62936501093959,16.260451631609616,42.733935198768634,30.440747026276004,0.0,-11.70565466703622,-23.060627807420516,-1.5377781849643906,-11.14765186208645,93.875
22,869.691075,30.185061107992418,16.944607896058947,44.38817103067766,30.881281954530742,0.0,-11.961904840009884,-22.869916462368057,-1.0841604474892927,-11.48245253286698,92.5
23,879.7875875,28.45329950830004,16.587773335480385,41.37104009664455,29.064681037838547,0.0,-11.92578872080119,-23.17003587661945,-1.0427339581667623,-11.499344924238445,93.625
24,925.7234125,29.51997636565328,17.125845148664514,41.83510992608148,30.058326231440674,0.0,-11.983291207566909,-23.480244037494668,-0.775081176819474,-11.610509496236173,92.75
25,989.3844875000001,29.41529071756129,17.289289302661192,41.93331088695943,30.22839510243344,0.0,-12.660308195805197,-24.033948204104124,-1.9120962777838464,-12.098291137728566,94.25
26,1075.9916875000001,29.55879889442542,18.28772292728405,41.36026289343325,30.306973976872364,0.0,-12.632529092691993,-23.34696193562908,-1.6001550616041011,-12.116020789249335,94.125
27,1087.1682500000002,29.609115561877562,17.94039427720862,41.83323825844989,30.29146421018608,0.0,-12.463101197600036,-23.329623802324086,-1.496295306677372,-11.99223714122821,93.5
28,1085.5929375,29.558996978595292,18.04757387023523,41.79127339367958,30.208255056771023,0.0,-12.444265072942393,-23.545356945755366,-2.1373947546884464,-11.995827100333395,94.75
29,1125.656225,28.897742713414903,17.668495556048622,40.69776210281399,29.520655406349306,0.0,-12.459851647153018,-23.20857999547155,-1.5352292218623669,-12.028260805753497,93.25
30,1118.412675,28.96703932430278,17.514413414657366,40.41602228657886,29.539632966113377,0.0,-12.462320731837345,-23.025112837639394,-1.5914588287253195,-12.064807917974436,93.625
31,1217.110325,28.896950431497398,17.759773099645205,40.64793255286548,29.4200701195477,0.0,-12.737756588785414,-22.438969373416242,-2.5015546039540792,-12.377754588933744,96.0
32,1307.7699375,29.387192154606623,18.581904403443176,41.215083179504624,29.852300779633392,0.0,-13.152501118365826,-23.059085230483277,-1.986058384920151,-12.834897668724416,94.75
33,1263.5155000000002,29.051055053109753,18.24041725987827,40.49655595198145,29.757847941810233,0.0,-12.87799819041958,-23.3391684296266,-2.1864000139961366,-12.389496091254752,95.375
34,1375.4300624999998,29.097518867706547,18.889844288378775,39.98127285164353,29.725172746287306,0.0,-13.289173099912409,-23.295414570215,-2.8372420689028637,-12.856217185005585,96.375
35,1356.4444624999999,28.013016239019436,18.198947365538736,38.76187444139713,28.62924935141724,0.0,-13.07009803014373,-22.656852127765394,-2.9945467942314123,-12.642643257865007,96.375
36,1435.4196625,28.87047483701102,18.16098338202806,40.99726925229422,29.440052523475725,0.0,-12.641385952039954,-21.67252590158607,-2.689017995626475,-12.246324998092655,95.5
37,1437.1560874999998,28.963453974683084,18.773231133533386,39.7556314238472,29.518146685610073,0.0,-13.363151995962923,-23.543666456904923,-2.8841570539268835,-12.980713536184028,96.0
38,1510.4984375,29.61335851579887,19.757072261109137,40.509535020130784,30.126022161996747,0.0,-13.530301600866963,-23.255101584411822,-3.069607230409918,-13.180096213386417,96.75
39,1544.318175,28.834907533427604,18.988378414679445,40.36116345976734,29.304597278125026,0.0,-13.488405012674232,-22.672043265233178,-3.1985395080941132,-13.16537933066427,96.375
40,1581.1155375000003,29.14846310694982,19.243155922636053,40.54918007647738,29.601218354851927,0.0,-13.611280353059323,-22.88470334892796,-3.5528870252511564,-13.301582845513218,97.75
41,1604.35435,29.06222206849027,19.7525351305503,39.85857022011597,29.66657594736521,0.0,-13.253155239798689,-22.74008135479177,-3.4396776091099355,-12.838301177360414,96.375
42,1636.9648874999998,28.989910307145355,19.145527614497677,39.58942427087895,29.546082588605536,0.0,-13.844323161338448,-22.56060380154804,-4.1386460443441,-13.464371194068722,98.375
43,1712.8253250000002,28.97342631180892,19.642506983034167,39.75178262907197,29.51096771734531,0.0,-13.68475474258252,-22.808448621968918,-3.663848911833036,-13.315484492287101,96.875
44,1696.4483375,28.784654034398628,19.33439692362343,39.393013341633996,29.292378183052218,0.0,-13.670810101509355,-22.264336775648083,-4.180435416938927,-13.322893441014333,97.875
45,1733.4181374999998,28.59941535363665,19.116021573706604,39.43662465630006,29.08656128193404,0.0,-13.76373578813433,-22.454742063952743,-3.692429257486238,-13.429956387357567,97.25
46,1802.0489125,28.71834248710443,19.346931456962174,38.53589945311544,29.185662853126296,0.0,-13.52119186061988,-22.55626243288764,-4.2716168565791826,-13.200238374476948,97.5
47,1854.506825,28.99794056249565,19.160739141780084,39.77359586718682,29.426140349244164,0.0,-13.846598540934089,-22.28952585923127,-4.269005718871857,-13.553803991142253,97.875
48,1907.1202000000003,28.94353672876537,20.151338281834903,38.628850356030064,29.341422200442434,0.0,-13.990058791101923,-22.41026659509558,-4.427698295012726,-13.718434571707363,97.625
49,1933.5544875,28.60258314111343,19.566069640694597,38.42246770405431,29.128335648699203,0.0,-13.671551899847564,-22.029242491927658,-4.178977233093749,-13.310373461730814,97.375
50,1960.888325,28.623042365056982,19.948097591849045,38.629877550936385,29.128515717705987,0.0,-13.80727343809123,-22.09982138048809,-4.699402621496022,-13.461369473781378,98.125
51,2025.1666125000002,29.029445544793006,19.84893702002362,39.83518101616795,29.506573509260402,0.0,-14.38586264946089,-22.66103490593248,-5.163009131179478,-14.062269895181357,98.375
52,2002.41625,28.60913321066322,19.808205930649798,38.81694544706273,29.0938612972531,0.0,-13.508828079296173,-22.016422435739056,-4.1806430229101395,-13.17583520131579,97.25
53,2100.9654375,29.015352867188486,20.279394212069693,38.59811367994985,29.456877869798763,0.0,-14.280991667447788,-22.56506875271575,-4.782250143473891,-13.981527562587878,99.125
54,2039.8307,28.737922286605436,19.655047685092658,38.85627159359718,29.188700703822644,0.0,-13.797076642992938,-21.93375907469995,-4.653506521048287,-13.489538132461126,98.25
55,2181.36495,28.78120892111348,19.963506797437834,38.61714239675144,29.193913218445005,0.0,-14.059072948121633,-22.156717277214863,-4.901705868911061,-13.777880792570068,98.375
56,2203.95705,28.809636622522916,20.22282200399041,39.11434711170323,29.20194877082302,0.0,-13.776825399955264,-21.07515929761799,-5.414176011613624,-13.509510520660578,98.125
57,2307.8658124999997,28.904876426832306,20.48614440050392,38.531422937474524,29.36020620822098,0.0,-14.446487749288453,-22.601142082190147,-5.616251182481829,-14.138394885481548,98.75
58,2266.58025,28.434278376498213,20.487785889845778,38.39405847103657,28.909273913499984,0.0,-14.637885777943781,-22.421743941439814,-5.6558992919478674,-14.316614302084595,98.0
59,2387.4656375,28.626043588894063,20.32599344736461,37.59331934026448,29.066839707477182,0.0,-14.174487520848809,-22.002741668819898,-4.857588493758742,-13.874691260382535,98.25
