n_cards,order_value_mean,cardkingdom_gap_mean,cardkingdom_gap_p10,cardkingdom_gap_p90,manapool_gap_mean,manapool_gap_p10,manapool_gap_p90
1,12.241933333333334,36.00768299937922,19.091903719912494,62.774957698815584,20.413728872643254,7.55954493973664,42.45614035087721
2,23.09733333333333,21.144579787232786,14.350356152952058,30.333486539724216,8.885658583203172,4.103939679500311,15.707821736901483
3,34.7672,16.049169438595968,9.571097126503535,22.03990747588482,5.96764058974476,3.294567598013509,9.205380142541102
4,47.559000000000005,10.638727384000628,3.2756787676164083,18.76222869206463,2.6280012059617803,-3.853283458981527,7.812317631808634
5,58.9826,7.005548487780123,2.2986191024165747,15.911797889956274,-0.3443885822165246,-4.216457573091874,5.8935955199912815
6,71.06540000000001,5.160589909201102,2.5141617901460345,7.432828785043491,-2.6571412198810003,-4.652881104407071,-1.0722764742605344
7,83.08643333333333,4.731367555930204,2.5633181135871608,6.8184400781296075,-3.127813877015173,-4.576438801675308,-1.7503834755026861
8,95.3844,4.800844855868307,2.7197863054678995,6.9120862444921345,-3.1387903812506073,-4.379908907569336,-1.7671170451662574
9,107.12433333333334,3.463516654249837,1.4137584175972728,5.525436458261864,-4.466152213128289,-5.855486879389539,-3.092921978170927
10,117.42803333333335,3.5309848896015166,1.823312844307079,5.254246378173151,-4.214140606292617,-5.611896736544251,-2.8347589487661318
11,131.46720000000002,3.603653126987551,2.001462872256823,5.186347279195416,-4.236818688348438,-5.37340738427311,-3.0085254286779137
12,142.82646666666668,3.777021454969538,2.3246044819279432,5.476519414753992,-4.088415561624744,-5.169702317555,-2.8871076839450702
13,153.46223333333333,4.074247806148722,2.426447230546749,5.788382096414278,-3.717229094747269,-4.89459543607988,-2.4628682261597787
14,167.94426666666666,4.7160634658350835,3.285085046671381,6.242625966836841,-3.270737202744932,-4.3260588957946355,-2.1105960079185757
15,180.09446666666665,4.777132670791198,3.4141529566328455,6.128687504877752,-3.1614784961661826,-4.124522535500844,-2.2206363755401366
16,193.17049999999998,4.908963046003915,3.6407341365619983,6.3456567049942025,-3.0169059511086544,-3.9697506908523383,-1.9835398897706469
17,203.50013333333334,4.133296288092734,2.8518403833305928,5.4557348785666475,-3.8558612981518188,-4.725727267324168,-2.98093166742712
18,216.54209999999998,4.031897253554191,2.974673227952036,5.138749299979522,-3.7653562238871534,-4.587787659936084,-2.9414376485678173
19,229.6905,4.132408058742905,2.929269833060797,5.2010486006073195,-3.6917318515773148,-4.573156836210088,-2.710473629725619
20,241.38243333333332,4.233617083901803,3.067679542116699,5.273678989252036,-3.6610745926448103,-4.414609716611668,-2.884253329967031
21,253.06590000000006,4.266023927217637,3.132158937537748,5.320127252427296,-3.640486393245419,-4.446623130949292,-2.8441561104509794
22,267.77346666666665,4.467695199956312,3.253390143965693,5.635772538826965,-3.4099019876679932,-4.1246963305280415,-2.62642360331734
23,279.5105666666667,4.849267009603227,3.793722400134949,5.989231956339096,-3.1008416984902647,-3.815673458563885,-2.362659620226069
24,293.39463333333333,4.8470034628199485,3.7752339263448365,5.795472663219557,-3.0549641485028483,-3.7693551894856956,-2.2563151554647782
25,305.30376666666666,4.361219353733472,3.3195818059966498,5.348086608827079,-3.504210486583676,-4.2178067085116835,-2.8417832294113463
26,319.43806666666666,4.31830891442489,3.2944691096278467,5.3395260760124,-3.5466928312435613,-4.230119945987414,-2.8192765546952194
27,331.74283333333335,4.389620615832823,3.3402265333180514,5.373369800573561,-3.5213824536149247,-4.203634552204899,-2.807679875554412
28,345.7495,4.377075938342489,3.479005782597313,5.277777212863147,-3.529675449517812,-4.168685601445083,-2.920945103963779
29,358.6811000000001,4.431154614006745,3.5269531525098707,5.284651322163891,-3.4455508833209145,-4.135472334648836,-2.772344397259079
30,368.1313666666667,4.505677215203587,3.559373818794549,5.451521856994024,-3.3476235029051606,-3.973325161790111,-2.674586648150814
35,436.7376,4.488360664022772,3.6800372740853526,5.276295838807834,-3.3855624565541262,-3.9619666161149647,-2.84356808787802
40,504.65803333333326,4.828880631977033,4.104391409731106,5.5011518574677725,-3.0474756729167085,-3.570024583633491,-2.5275106143297488
45,571.5871333333333,4.543054680059685,3.8983814363775315,5.220479735895911,-3.298787892850534,-3.761314058975592,-2.778153809673143
50,642.3136999999999,4.635531481291529,3.9423941646414273,5.249124125948641,-3.248410610433295,-3.686796936696609,-2.8138767392051443
55,710.7570333333333,4.688903408891515,4.0963887311496965,5.190089389864306,-3.206136217906073,-3.5702379987771202,-2.812266533888297
60,785.2308666666667,4.6291810074885795,4.144252571251297,5.108680687070238,-3.198924393931289,-3.5486882036303835,-2.8367442121520012
65,855.9162,4.679359684934501,4.196781976800814,5.118068715901174,-3.1734445639819597,-3.4698806928032133,-2.8650330340317995
70,928.8018,4.689118642291938,4.3180154485215905,5.095027632062226,-3.178216867879652,-3.46440165258168,-2.90938248081152
75,1008.4196000000001,4.7106589196085515,4.379501794077696,5.04362099851039,-3.1679118154303536,-3.4311079589234517,-2.9154638670136745
80,1085.0297333333333,4.844930478078636,4.555805256772274,5.135971551114585,-3.0061890098280952,-3.2232188760254985,-2.7848268443777755
85,1165.2294333333332,4.7583626790654305,4.518886185353244,5.031242918386163,-3.138835936677839,-3.3383283812029596,-2.942308626817287
90,1246.4699666666666,4.747608436645082,4.54471883919416,4.951324557964212,-3.1137305275638703,-3.286385370960475,-2.945661514311043
95,1333.3573333333331,4.753302020523271,4.5959877452582365,4.887224038088034,-3.0967459187136046,-3.2061396267417828,-2.994732964961573
