fmt,deck,value,ck_prem
commander,Tymna the Weaver,8592.51,7.9592575394151375
commander,"Thrasios, Triton Hero",8567.8,-1.537851023599972
commander,"Rograkh, Son of Rohgahh",7391.13,14.129503878297351
commander,"Kraum, Ludevic's Opus",8592.51,8.01162873246583
commander,"Kinnan, Bonder Prodigy",5122.05,-6.576858874864554
commander,"Silas Renn, Seeker Adept",7391.13,14.129503878297351
commander,"Sisay, Weatherlight Captain",9879.95,-0.3094145213285647
commander,"Malcolm, Keen-Eyed Navigator",5991.55,15.912910682544574
commander,"Dargo, the Shipwrecker",6002.31,0.5711134546532876
commander,"Magda, Brazen Outlaw",2019.51,-2.978445266426019
commander,Vivi Ornitier,5951.84,232.36629344874862
commander,"Yoshimaru, Ever Faithful",6145.06,4.775868746602955
commander,Vial Smasher the Fierce,8959.02,-3.0849356291201606
commander,"Tivit, Seller of Secrets",6325.98,4.666628727880898
commander,"Ishai, Ojutai Dragonspeaker",6309.71,14.241542004307654
commander,"Lumra, Bellow of the Woods",8351.08,19.06579747769152
commander,"Tayam, Luminous Enigma",5665.47,4.254192503005038
commander,"Ob Nixilis, Captive Kingpin",5677.45,9.182291345586497
commander,"Glarb, Calamity's Augur",7985.78,-2.1672272464305267
commander,"Yuriko, the Tiger's Shadow",4094.72,1.606703266645837
commander,"Krark, the Thumbless",6509.66,15.14656679457913
commander,"Winota, Joiner of Forces",3485.6,3.645283451916455
commander,"K'rrik, Son of Yawgmoth",4025.81,6.813287263929506
commander,Marneus Calgar,5747.41,0.6717808543326573
commander,"Tevesh Szat, Doom of Fools",5875.31,5.771610349070933
commander,TOTAL (24 incl.),154708.51,5.89013493827843
standard,Izzet Prowess,304.58,19.909383413224784
standard,4 Color Control,274.11,23.22060486665936
standard,Dimir Excruciator,361.17,10.994822382811412
standard,Izzet Spellementals,288.07,8.563890721005317
standard,Mono Green Landfall,427.11,25.995645149961362
standard,Jeskai Lessons,327.81,34.382721698544884
standard,Selesnya Gearhulk,662.22,29.615535622602764
standard,Azorius Blink,503.49,-9.676458320919984
standard,Mardu Discard,282.7,28.11107180756987
standard,Selesnya Landfall,487.28,42.199556723033986
standard,Rogue,389.0,25.082262210796912
standard,Izzet Lessons,359.9,48.29119199777718
standard,Azorius Flash,347.89,16.490844807266665
standard,Converge Control,435.77,9.32831539573629
standard,Selesnya Counters,570.26,19.096552449759756
standard,Dimir Control,437.14,9.96477101157524
standard,Jeskai Control,281.45,4.583407354769953
standard,Mono-Red Aggro,169.08,8.930683700023653
standard,Temur Kona,544.33,10.647952528796853
standard,Sultai Control,276.05,-12.233291070458254
standard,Golgari Midrange,425.9,10.800657431321907
standard,Izzet Opus,405.04,32.30545131345051
standard,Dimir Midrange,206.58,19.701810436634712
standard,Sultai Reanimator,631.71,11.551186462142425
standard,Izzet Elementals,631.3,11.553936321875504
standard,TOTAL (22 incl.),8462.22,17.591364913698783
