fmt,deck,market,coverage,tcg_cart,ck_cart,tcg_vs_mkt,ck_vs_mkt
commander,"Dargo, the Shipwrecker",6019.490000000001,98.0,6002.31,6036.59,-0.2854062387345202,0.2840772224889321
commander,"Glarb, Calamity's Augur",7287.56,97.0,7985.78,7812.71,9.580984581945117,7.206115627178367
commander,"Ishai, Ojutai Dragonspeaker",6502.940000000001,98.0,6309.71,7208.31,-2.9714252322795787,10.846939999446391
commander,"K'rrik, Son of Yawgmoth",4160.76,100.0,4025.81,4300.1,-3.243397840779094,3.3489074111460404
commander,"Kinnan, Bonder Prodigy",4551.580000000001,98.0,5122.05,4785.18,12.5334499228839,5.132283734439458
commander,"Krark, the Thumbless",7153.179999999999,99.0,6509.66,7495.65,-8.99627857819878,4.78766087250706
commander,"Kraum, Ludevic's Opus",8812.44,98.0,8592.51,9280.91,-2.4956765663085356,5.316007825301505
commander,"Lumra, Bellow of the Woods",9068.039999999999,100.0,8351.08,9943.28,-7.906449464272313,9.651920370885026
commander,"Magda, Brazen Outlaw",1883.4399999999996,100.0,2019.51,1959.36,7.224546574353341,4.030922142462745
commander,"Malcolm, Keen-Eyed Navigator",6279.259999999999,98.0,5991.55,6944.98,-4.581909333265366,10.601886209521517
commander,Marneus Calgar,5434.98,99.0,5747.41,5786.02,5.748503214363265,6.458901412700713
commander,"Ob Nixilis, Captive Kingpin",6151.54,100.0,5677.45,6198.77,-7.706850642278196,0.7677752237651214
commander,"Rograkh, Son of Rohgahh",8210.11,99.0,7391.13,8435.46,-9.975262207205516,2.744786610654404
commander,"Silas Renn, Seeker Adept",8210.11,99.0,7391.13,8435.46,-9.975262207205516,2.744786610654404
commander,"Sisay, Weatherlight Captain",9042.980000000001,97.0,9879.95,9849.38,9.255466671384859,8.917414392158317
commander,"Tayam, Luminous Enigma",5272.59,97.0,5665.47,5906.49,7.451366406263338,12.02255438029507
commander,"Tevesh Szat, Doom of Fools",6271.26,100.0,5875.31,6214.41,-6.313723239030111,-0.9065163938347331
commander,"Thrasios, Triton Hero",7584.35,97.0,8567.8,8436.04,12.966833017990975,11.22957142009533
commander,"Tivit, Seller of Secrets",6180.98,100.0,6325.98,6621.19,2.345906312591217,7.122009778384664
commander,Tymna the Weaver,8812.44,98.0,8592.51,9276.41,-2.4956765663085356,5.264943647843268
commander,Vial Smasher the Fierce,8403.55,99.0,8959.02,8682.64,6.609944606743601,3.3210964413848965
commander,Vivi Ornitier,6563.090000000001,100.0,5951.84,19781.91,-9.313448390925627,201.41153023956696
commander,"Winota, Joiner of Forces",3439.94,99.0,3485.6,3612.66,1.3273487328267386,5.021017808450146
commander,"Yoshimaru, Ever Faithful",5652.969999999999,98.0,6145.06,6438.54,8.70498162912594,13.896588872751847
commander,"Yuriko, the Tiger's Shadow",3967.15,97.0,4094.72,4160.51,3.21565859622146,4.874027954576965
standard,4 Color Control,208.84,98.66666666666667,274.11,337.76,31.253591266040992,61.73146906722848
standard,Azorius Blink,418.94,97.33333333333333,503.49,454.77,20.18188762113906,8.552537356184642
standard,Azorius Flash,262.9,100.0,347.89,405.26,32.32788132369724,54.14986686953216
standard,Converge Control,344.28,100.0,435.77,476.42,26.574299988381544,38.38154990124318
standard,Dimir Control,341.82000000000005,100.0,437.14,480.7,27.88602188286231,40.62957111930254
standard,Dimir Excruciator,277.82000000000005,94.66666666666667,361.17,400.88,30.001439781153238,44.29486718018858
standard,Dimir Midrange,163.2,100.0,206.58,247.28,26.58088235294118,51.51960784313727
standard,Golgari Midrange,344.94999999999993,100.0,425.9,471.9,23.467169154950017,36.8024351355269
standard,Izzet Elementals,555.1600000000001,100.0,631.3,704.24,13.714965055119222,26.85351970603067
standard,Izzet Lessons,273.5,96.0,359.9,533.7,31.590493601462512,95.13711151736747
standard,Izzet Opus,289.6,96.0,405.04,535.89,39.86187845303868,85.04488950276242
standard,Izzet Prowess,246.35999999999999,100.0,304.58,365.22,23.6320831303783,48.246468582562116
standard,Izzet Spellementals,231.2,100.0,288.07,312.74,24.597750865051914,35.26816608996541
standard,Jeskai Control,210.78,100.0,281.45,294.35,33.52784894202485,39.647974191099735
standard,Jeskai Lessons,260.9,97.33333333333333,327.81,440.52,25.645841318512865,68.84630126485246
standard,Mardu Discard,239.89,100.0,282.7,362.17,17.845679269665272,50.97336279127936
standard,Mono Green Landfall,349.23999999999995,100.0,427.11,538.14,22.296987744817343,54.088878708051794
standard,Mono-Red Aggro,132.11,100.0,169.08,184.18,27.984255544621895,39.41412459314206
standard,Rogue,338.2199999999999,100.0,389.0,486.57,15.013896280527494,43.8619833244634
standard,Selesnya Counters,466.6499999999999,100.0,570.26,679.16,22.202935819136414,45.53948355298405
standard,Selesnya Gearhulk,505.85999999999996,90.66666666666667,662.22,858.34,30.909737872138553,69.67935792511764
standard,Selesnya Landfall,387.4299999999999,100.0,487.28,692.91,25.772397594404172,78.8477918591746
standard,Sultai Control,199.81,100.0,276.05,242.28,38.15624843601422,21.255192432811178
standard,Sultai Reanimator,557.9699999999999,100.0,631.71,704.68,13.215764288402632,26.293528325895664
standard,Temur Kona,490.02,94.66666666666667,544.33,602.29,11.083221093016626,22.911309742459494
