card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,band
Flow State,1.81,3.49,0.62,92.81767955801104,-65.74585635359117,7962.0,live,$1-2
Flashback,3.84,6.49,2.56,69.01041666666667,-33.33333333333333,4968.0,live,$2-5
Erode,6.42,9.49,4.64,47.81931464174456,-27.72585669781932,5161.0,live,$5-10
Cauldron of Essence,3.53,3.99,2.61,13.031161473087831,-26.06232294617564,4333.0,live,$2-5
The Unbeatable Squirrel Girl,4.23,4.99,3.33,17.966903073286044,-21.276595744680854,4253.0,live,$2-5
Arcane Signet,0.48,0.99,0.4,106.25,-16.66666666666666,8344.0,live,$0-1
Stock Up,1.0,0.79,0.31,-21.0,-69.0,6551.0,live,$1-2
Sol Ring,1.59,2.79,1.4,75.47169811320754,-11.949685534591206,8498.0,live,$1-2
Grave Researcher,2.05,2.79,1.77,36.097560975609774,-13.658536585365846,4095.0,live,$2-5
Fabled Passage,1.1,1.79,0.93,62.72727272727272,-15.454545454545457,8855.0,live,$1-2
Return the Favor,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,4947.0,live,$0-1
Resonating Lute,1.65,1.29,0.76,-21.818181818181813,-53.93939393939393,3863.0,live,$1-2
Tablet of Discovery,2.07,1.99,1.3,-3.864734299516901,-37.19806763285023,5808.0,live,$2-5
Planar Engineering,1.53,0.79,0.52,-48.36601307189542,-66.01307189542483,3866.0,live,$1-2
Hex Magic,1.19,2.99,0.95,151.2605042016807,-20.16806722689076,7470.0,live,$1-2
Captain America's Shield,1.34,2.29,0.81,70.89552238805969,-39.55223880597015,3997.0,live,$1-2
Sink into Stupor,5.74,9.99,5.3100000000000005,74.0418118466899,-7.4912891986062675,3599.0,live,$5-10
Command Tower,0.33,0.79,0.21,139.3939393939394,-36.36363636363637,5335.0,live,$0-1
Scheming Silvertongue,1.19,0.99,0.37,-16.806722689075627,-68.90756302521008,3382.0,live,$1-2
Stormcarved Coast,2.47,3.49,1.39,41.29554655870445,-43.72469635627531,3294.0,live,$2-5
"Mole Man, Moloid Master",1.19,3.49,0.51,193.27731092436977,-57.14285714285714,4722.0,live,$1-2
Deathcap Glade,2.31,2.99,1.76,29.437229437229444,-23.80952380952381,3321.0,live,$2-5
Sundown Pass,2.17,3.49,1.23,60.829493087557616,-43.31797235023041,3253.0,live,$2-5
Mana Sculpt,0.89,0.79,0.15,-11.235955056179773,-83.14606741573034,3456.0,live,$0-1
Fell the Profane,3.66,5.99,3.42,63.66120218579236,-6.557377049180333,3100.0,live,$2-5
Vexing Bauble,2.61,4.49,1.44,72.03065134099619,-44.82758620689656,4655.0,live,$2-5
Llanowar Elves,0.32,0.79,0.15,146.875,-53.125,4931.0,live,$0-1
Fellwar Stone,0.9,1.79,0.72,98.88888888888889,-20.000000000000004,5360.0,live,$0-1
Shared Roots,0.39,0.35,0.15,-10.256410256410266,-61.53846153846154,4227.0,live,$0-1
Reliquary Tower,3.67,4.99,3.4,35.96730245231608,-7.356948228882834,3568.0,live,$2-5
"Moseo, Vein's New Dean",0.83,0.49,0.25,-40.963855421686745,-69.87951807228916,3121.0,live,$0-1
Emeritus of Woe,12.17,14.99,11.45,23.17173377156944,-5.916187345932626,2628.0,live,$10-20
Swamp (0269),0.77,1.29,0.35,67.53246753246754,-54.54545454545456,6901.0,live,$0-1
Feed the Swarm,0.3,0.49,0.15,63.33333333333334,-50.0,3547.0,live,$0-1
Shattered Sanctum,1.59,2.79,0.78,75.47169811320754,-50.943396226415096,3199.0,live,$1-2
