bucket,vendor,cards,shipping,total
0-5,tcgplayer,121.10041999999999,0.76586,121.86627999999999
0-5,cardkingdom,158.14353999999997,2.664660000000001,160.80819999999997
0-5,manapool,101.84394,2.489760000000001,104.33370000000001
5-20,tcgplayer,505.43057999999996,1.5198,506.95037999999994
5-20,cardkingdom,647.1398799999998,0.13972000000000004,647.2795999999998
5-20,manapool,429.60396,0.25536000000000003,429.85931999999997
20-50,tcgplayer,1385.5253199999997,3.730959999999999,1389.2562799999998
20-50,cardkingdom,1793.8093999999999,0.0,1793.8093999999999
20-50,manapool,1175.2329200000001,0.0,1175.2329200000001
50-75,tcgplayer,2436.2617999999998,6.46958,2442.7313799999997
50-75,cardkingdom,3143.84734,0.0,3143.84734
50-75,manapool,2063.9735,0.0,2063.9735
75-100,tcgplayer,3399.35862,8.731399999999999,3408.09002
75-100,cardkingdom,4402.7278,0.0,4402.7278
75-100,manapool,2869.9934200000002,0.0,2869.9934200000002
