productId,name,set,key
265188,Omniscience,Judge Promos,omniscience
38201,Llanowar Elves,WPN & Gateway Promos,llanowar elves
162905,Llanowar Elves,Open House Promos,llanowar elves
38298,Cancel,Magic Player Rewards,cancel
38297,Burst Lightning,Magic Player Rewards,burst lightning
38305,Day of Judgment,Magic Player Rewards,day of judgment
38318,Lightning Helix,Magic Player Rewards,lightning helix
38323,Negate,Magic Player Rewards,negate
38332,Pyroclasm,Magic Player Rewards,pyroclasm
70712,Scavenging Ooze,Media Promos,scavenging ooze
551636,Sleight of Hand,Media Promos,sleight of hand
37978,Duress,Arena Promos,duress
139778,Abrade,Game Day & Store Championship Promos,abrade
650711,Bitter Triumph,Game Day & Store Championship Promos,bitter triumph
625639,Preacher of the Schism,Game Day & Store Championship Promos,preacher of the schism
282473,Spell Pierce,Game Day & Store Championship Promos,spell pierce
650730,Slickshot Show-Off,Game Day & Store Championship Promos,slickshot showoff
624063,Virtue of Persistence,Game Day & Store Championship Promos,virtue of persistence
254546,Blood Crypt,The List Reprints,blood crypt
222437,Bloodghast,The List Reprints,bloodghast
582893,Bushwhack,The List Reprints,bushwhack
203689,Cancel,The List Reprints,cancel
229291,Cavern of Souls,The List Reprints,cavern of souls
203668,Duress,The List Reprints,duress
203960,Essence Scatter,The List Reprints,essence scatter
631650,Fabled Passage,The List Reprints,fabled passage
203981,Flashfreeze,The List Reprints,flashfreeze
582720,Heartless Act,The List Reprints,heartless act
203343,Lightning Helix,The List Reprints,lightning helix
203419,Llanowar Elves,The List Reprints,llanowar elves
204105,Opt,The List Reprints,opt
262920,Pyroclasm,The List Reprints,pyroclasm
222471,Rest in Peace,The List Reprints,rest in peace
507586,Scavenging Ooze,The List Reprints,scavenging ooze
204651,Shock,The List Reprints,shock
533196,Spell Snare,The List Reprints,spell snare
658357,"Carnage, Crimson Chaos",Play Promos,carnage crimson chaos
658360,Spectacular Spider-Man,Play Promos,spectacular spiderman
660652,Day of Black Sun,Unique and Miscellaneous Promos,day of black sun
650783,Get Lost,Unique and Miscellaneous Promos,get lost
660650,Gran-Gran,Unique and Miscellaneous Promos,grangran
660500,"Momo, Friendly Flier",Unique and Miscellaneous Promos,momo friendly flier
701596,Sazh's Chocobo,Unique and Miscellaneous Promos,sazhs chocobo
608001,Terror of the Peaks,Unique and Miscellaneous Promos,terror of the peaks
95916,Disdainful Stroke,FNM Promos,disdainful stroke
38091,Duress,FNM Promos,duress
38124,Llanowar Elves,FNM Promos,llanowar elves
164093,Opt,FNM Promos,opt
38153,Shock,FNM Promos,shock
562024,Sleight of Hand,Pro Tour Promos,sleight of hand
169683,Forest,Grand Prix Promos,forest
169684,Island,Grand Prix Promos,island
39330,Maelstrom Pulse,Grand Prix Promos,maelstrom pulse
169686,Plains,Grand Prix Promos,plains
169685,Mountain,Grand Prix Promos,mountain
169687,Swamp,Grand Prix Promos,swamp
237582,Blood Crypt,Secret Lair Drop Series,blood crypt
517838,Blooming Marsh,Secret Lair Drop Series,blooming marsh
237578,Breeding Pool,Secret Lair Drop Series,breeding pool
517831,Concealed Courtyard,Secret Lair Drop Series,concealed courtyard
259299,Duress,Secret Lair Drop Series,duress
237580,Godless Shrine,Secret Lair Drop Series,godless shrine
237577,Hallowed Fountain,Secret Lair Drop Series,hallowed fountain
237584,Overgrown Tomb,Secret Lair Drop Series,overgrown tomb
221332,Rest in Peace,Secret Lair Drop Series,rest in peace
701532,Return the Favor,Secret Lair Drop Series,return the favor
693223,Roaming Throne,Secret Lair Drop Series,roaming throne
237586,Sacred Foundry,Secret Lair Drop Series,sacred foundry
221011,Scavenging Ooze,Secret Lair Drop Series,scavenging ooze
695483,Sheltered by Ghosts,Secret Lair Drop Series,sheltered by ghosts
702344,Shoot the Sheriff,Secret Lair Drop Series,shoot the sheriff
517833,Spirebluff Canal,Secret Lair Drop Series,spirebluff canal
237583,Steam Vents,Secret Lair Drop Series,steam vents
237585,Stomping Ground,Secret Lair Drop Series,stomping ground
237579,Temple Garden,Secret Lair Drop Series,temple garden
691920,Terror of the Peaks,Secret Lair Drop Series,terror of the peaks
237581,Watery Grave,Secret Lair Drop Series,watery grave
663126,"Aang, Swift Savior",Prerelease Cards,aang swift savior
663144,Abandoned Air Temple,Prerelease Cards,abandoned air temple
663145,Agna Qel'a,Prerelease Cards,agna qela
663091,Airbender Ascension,Prerelease Cards,airbender ascension
635773,"Ardyn, the Usurper",Prerelease Cards,ardyn the usurper
663092,Avatar's Wrath,Prerelease Cards,avatars wrath
546087,Aven Interrupter,Prerelease Cards,aven interrupter
625826,Awaken the Honored Dead,Prerelease Cards,awaken the honored dead
663146,Ba Sing Se,Prerelease Cards,ba sing se
663082,Badgermole Cub,Prerelease Cards,badgermole cub
561012,"Beza, the Bounding Spring",Prerelease Cards,beza the bounding spring
580702,Blazemire Verge,Prerelease Cards,blazemire verge
616815,Bleachbone Verge,Prerelease Cards,bleachbone verge
616759,Bloodghast,Prerelease Cards,bloodghast
593242,Bloodthirsty Conqueror,Prerelease Cards,bloodthirsty conqueror
645448,Breeding Pool,Prerelease Cards,breeding pool
616788,Brightglass Gearhulk,Prerelease Cards,brightglass gearhulk
526798,Bringer of the Last Gift,Prerelease Cards,bringer of the last gift
616769,Burnout Bashtronaut,Prerelease Cards,burnout bashtronaut
653485,"Carnage, Crimson Chaos",Prerelease Cards,carnage crimson chaos
526784,Cavern of Souls,Prerelease Cards,cavern of souls
635774,"Cecil, Dark Knight",Prerelease Cards,cecil dark knight
625800,Clarion Conqueror,Prerelease Cards,clarion conqueror
645388,Consult the Star Charts,Prerelease Cards,consult the star charts
625852,Cori Mountain Monastery,Prerelease Cards,cori mountain monastery
645379,Cosmogrand Zenith,Prerelease Cards,cosmogrand zenith
561014,Dawn's Truce,Prerelease Cards,dawns truce
663105,Day of Black Sun,Prerelease Cards,day of black sun
593176,Day of Judgment,Prerelease Cards,day of judgment
536495,Deadly Cover-Up,Prerelease Cards,deadly coverup
255196,Deathcap Glade,Prerelease Cards,deathcap glade
580675,Doomsday Excruciator,Prerelease Cards,doomsday excruciator
625783,Dracogenesis,Prerelease Cards,dracogenesis
255197,Dreamroot Cascade,Prerelease Cards,dreamroot cascade
546089,Dust Animus,Prerelease Cards,dust animus
645429,"Dyadrine, Synthesis Amalgam",Prerelease Cards,dyadrine synthesis amalgam
663121,Earthbender Ascension,Prerelease Cards,earthbender ascension
625779,"Elspeth, Storm Slayer",Prerelease Cards,elspeth storm slayer
561049,Emberheart Challenger,Prerelease Cards,emberheart challenger
580663,Enduring Curiosity,Prerelease Cards,enduring curiosity
580677,Enduring Tenacity,Prerelease Cards,enduring tenacity
580652,Enduring Innocence,Prerelease Cards,enduring innocence
635804,Esper Origins,Prerelease Cards,esper origins
593184,Extravagant Replication,Prerelease Cards,extravagant replication
