productId,name,set,transactions,units,gmv_sale,tcgplayer,cardkingdom,manapool,ck_pct,mp_pct,band
688679,Flow State,Secrets of Strixhaven,4218,7962,35152.65,1.81,3.49,0.62,92.81767955801105,-65.74585635359117,$1-2
688521,Flashback,Secrets of Strixhaven,3915,4968,35594.57,3.84,6.49,2.56,69.01041666666667,-33.33333333333333,$2-5
688651,Erode,Secrets of Strixhaven,3771,5161,44420.03,6.42,9.49,4.64,47.819314641744555,-27.725856697819317,$5-10
689056,Cauldron of Essence,Secrets of Strixhaven,3767,4333,18222.39,3.53,3.99,2.61,13.031161473087833,-26.062322946175637,$2-5
696312,The Unbeatable Squirrel Girl,Marvel Super Heroes,3688,4253,41653.38,4.23,4.99,3.33,17.966903073286044,-21.276595744680858,$2-5
687531,Arcane Signet,Commander: Secrets of Strixhaven,3680,8344,6437.52,0.48,0.99,0.4,106.25,-16.66666666666666,$0-1
675591,Stock Up,Secrets of Strixhaven: Mystical Archive,3646,6551,15411.32,1.0,0.79,0.31,-20.999999999999996,-69.0,$1-2
687542,Sol Ring,Commander: Secrets of Strixhaven,3436,8498,23317.87,1.59,2.79,1.4,75.47169811320754,-11.949685534591206,$1-2
686543,Grave Researcher,Secrets of Strixhaven,3398,4095,15607.6,2.05,2.79,1.77,36.097560975609774,-13.658536585365846,$2-5
687665,Fabled Passage,Commander: Secrets of Strixhaven,3367,8855,13574.05,1.1,1.79,0.93,62.72727272727272,-15.454545454545457,$1-2
688928,Return the Favor,Secrets of Strixhaven: Mystical Archive,3261,4947,5798.26,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,$0-1
688477,Resonating Lute,Secrets of Strixhaven,3102,3863,14264.78,1.65,1.29,0.76,-21.818181818181813,-53.93939393939393,$1-2
689495,Tablet of Discovery,Secrets of Strixhaven,3028,5808,9875.35,2.07,1.99,1.3,-3.864734299516901,-37.19806763285023,$2-5
688687,Planar Engineering,Secrets of Strixhaven,2910,3866,8409.43,1.53,0.79,0.52,-48.36601307189542,-66.01307189542483,$1-2
697024,Hex Magic,Marvel Super Heroes,2827,7470,15453.01,1.19,2.99,0.95,151.2605042016807,-20.168067226890756,$1-2
696477,Captain America's Shield,Marvel Super Heroes,2799,3997,7903.99,1.34,2.29,0.81,70.89552238805969,-39.55223880597015,$1-2
552582,Sink into Stupor,Modern Horizons 3,2654,3599,24673.06,5.74,9.99,5.3100000000000005,74.0418118466899,-7.4912891986062675,$5-10
687664,Command Tower,Commander: Secrets of Strixhaven,2605,5335,3074.48,0.33,0.79,0.21,139.3939393939394,-36.36363636363637,$0-1
689052,Scheming Silvertongue,Secrets of Strixhaven,2582,3382,15267.57,1.19,0.99,0.37,-16.806722689075627,-68.90756302521008,$1-2
686581,Stormcarved Coast,Secrets of Strixhaven,2575,3294,9405.92,2.47,3.49,1.39,41.29554655870445,-43.72469635627531,$2-5
696570,"Mole Man, Moloid Master",Marvel Super Heroes,2574,4722,11939.48,1.19,3.49,0.51,193.27731092436977,-57.14285714285714,$1-2
686571,Deathcap Glade,Secrets of Strixhaven,2561,3321,7094.92,2.31,2.99,1.76,29.437229437229444,-23.80952380952381,$2-5
686583,Sundown Pass,Secrets of Strixhaven,2529,3253,6763.39,2.17,3.49,1.23,60.829493087557616,-43.31797235023041,$2-5
688516,Mana Sculpt,Secrets of Strixhaven,2525,3456,5531.57,0.89,0.79,0.15,-11.235955056179773,-83.14606741573034,$0-1
552580,Fell the Profane,Modern Horizons 3,2485,3100,10972.41,3.66,5.99,3.42,63.661202185792355,-6.557377049180333,$2-5
552814,Vexing Bauble,Modern Horizons 3,2470,4655,14060.59,2.61,4.49,1.44,72.03065134099619,-44.827586206896555,$2-5
557921,Llanowar Elves,Foundations,2470,4931,3327.57,0.32,0.79,0.15,146.875,-53.125,$0-1
687597,Fellwar Stone,Commander: Secrets of Strixhaven,2466,5360,6907.57,0.9,1.79,0.72,98.88888888888889,-20.000000000000004,$0-1
688960,Shared Roots,Secrets of Strixhaven: Mystical Archive,2455,4227,2641.83,0.39,0.35,0.15,-10.256410256410266,-61.53846153846154,$0-1
687486,Reliquary Tower,Commander: Secrets of Strixhaven,2451,3568,13527.73,3.67,4.99,3.4,35.96730245231608,-7.3569482288828345,$2-5
689476,"Moseo, Vein's New Dean",Secrets of Strixhaven,2447,3121,7305.73,0.83,0.49,0.25,-40.963855421686745,-69.87951807228916,$0-1
689158,Emeritus of Woe,Secrets of Strixhaven,2444,2628,53654.09,12.17,14.99,11.45,23.171733771569436,-5.916187345932626,$10-20
686589,Swamp (0269),Secrets of Strixhaven,2420,6901,9213.73,0.77,1.29,0.35,67.53246753246754,-54.545454545454554,$0-1
688873,Feed the Swarm,Secrets of Strixhaven: Mystical Archive,2395,3547,5470.16,0.3,0.49,0.15,63.33333333333334,-50.0,$0-1
686574,Shattered Sanctum,Secrets of Strixhaven,2387,3199,13881.45,1.59,2.79,0.78,75.47169811320754,-50.943396226415096,$1-2
553299,Pinnacle Monk,Modern Horizons 3,2387,3507,7177.15,1.7,3.49,1.68,105.29411764705885,-1.176470588235295,$1-2
552336,Witch Enchanter,Modern Horizons 3,2372,3480,12811.24,4.31,6.49,3.49,50.580046403712316,-19.025522041763328,$2-5
688961,Spell Pierce,Secrets of Strixhaven: Mystical Archive,2369,3690,2147.57,0.29,0.35,0.15,20.689655172413794,-48.275862068965516,$0-1
686601,Emeritus of Ideation,Secrets of Strixhaven,2343,2881,33634.76,5.25,7.99,4.62,52.1904761904762,-11.999999999999998,$5-10
649382,Bender's Waterskin,Avatar: The Last Airbender,2342,4117,7092.63,0.81,1.79,0.75,120.98765432098763,-7.407407407407414,$0-1
689107,Dina's Guidance,Secrets of Strixhaven,2325,3176,4273.45,0.97,0.79,0.15,-18.55670103092783,-84.5360824742268,$0-1
688654,Practiced Offense,Secrets of Strixhaven,2320,4274,4437.39,1.29,2.49,0.26,93.0232558139535,-79.84496124031007,$1-2
673622,Cool but Rude,Teenage Mutant Ninja Turtles,2318,2758,17976.62,8.6,12.99,7.8,51.04651162790699,-9.302325581395348,$5-10
686590,Mountain (0270),Secrets of Strixhaven,2306,6904,5899.98,1.16,1.29,0.36,11.20689655172415,-68.9655172413793,$1-2
693022,The Mind Stone,Marvel Super Heroes,2301,2492,177420.29,57.53,79.99,62.52,39.040500608378224,8.673735442377893,$50-100
689106,Germination Practicum,Secrets of Strixhaven,2296,2502,27255.53,10.26,9.99,8.33,-2.6315789473684172,-18.81091617933723,$10-20
686586,Plains (0267),Secrets of Strixhaven,2291,6778,8276.01,1.22,1.79,0.6,46.72131147540984,-50.81967213114754,$1-2
688926,Requisition Raid,Secrets of Strixhaven: Mystical Archive,2285,3359,2184.57,0.31,0.35,0.15,12.903225806451607,-51.61290322580645,$0-1
686587,Island (0268),Secrets of Strixhaven,2281,6735,6060.97,1.06,1.49,0.48,40.56603773584905,-54.71698113207547,$1-2
686591,Forest (0271),Secrets of Strixhaven,2249,6556,5210.46,0.82,1.79,0.37,118.29268292682929,-54.878048780487795,$0-1
552466,Disciple of Freyalise,Modern Horizons 3,2236,3015,6902.4,2.57,4.49,1.64,74.7081712062257,-36.18677042801556,$2-5
634431,Genji Glove,FINAL FANTASY,2232,2421,15200.67,11.36,11.99,5.9,5.545774647887331,-48.06338028169014,$10-20
686575,Improvisation Capstone,Secrets of Strixhaven,2229,2404,33561.75,10.47,16.99,9.37,62.27316141356254,-10.506208213944616,$10-20
696278,"Shuri, Wakandan Inventor",Marvel Super Heroes,2220,5051,4757.91,0.39,0.69,0.15,76.9230769230769,-61.53846153846154,$0-1
688858,Bulk Up,Secrets of Strixhaven: Mystical Archive,2203,3106,1668.75,0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,$0-1
688855,Bitter Triumph,Secrets of Strixhaven: Mystical Archive,2184,3343,2610.71,0.28,0.35,0.15,24.999999999999982,-46.42857142857144,$0-1
696274,"Loki, God of Mischief",Marvel Super Heroes,2184,4095,22407.65,2.59,5.99,2.17,131.2741312741313,-16.216216216216214,$2-5
591214,Hare Apparent,Foundations,2181,8091,25803.42,2.32,3.49,0.91,50.43103448275864,-60.775862068965516,$2-5
686599,"Prismari, the Inspiration",Secrets of Strixhaven,2174,2276,21160.16,4.07,4.99,3.12,22.6044226044226,-23.34152334152334,$2-5
686582,Studious First-Year,Secrets of Strixhaven,2163,4480,2815.06,0.31,0.35,0.15,12.903225806451607,-51.61290322580645,$0-1
498352,Mirkwood Bats,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,2157,2781,8920.94,1.34,1.49,1.05,11.194029850746261,-21.64179104477612,$1-2
688950,Decorum Dissertation,Secrets of Strixhaven,2089,2268,21140.21,6.97,8.49,5.21,21.807747489239606,-25.251076040172165,$5-10
553204,Accursed Marauder,Modern Horizons 3,2061,2829,1868.56,0.37,0.39,0.15,5.405405405405411,-59.45945945945946,$0-1
696319,"Captain America, Living Legend",Marvel Super Heroes,2055,3147,3885.7,0.3,0.35,0.15,16.666666666666664,-50.0,$0-1
