,tcgplayer,cardkingdom,manapool,name,set,nk
448626,,,,Animate Dead,Judge Promos,animatedead
38233,,,,Bloodstained Mire,Judge Promos,bloodstainedmire
201090,,,,Chalice of the Void,Judge Promos,chaliceofthevoid
111644,,,,Command Beacon,Judge Promos,commandbeacon
58133,,,,Command Tower,Judge Promos,commandtower
38236,,,,Dark Ritual,Judge Promos,darkritual
38238,,,,Demonic Tutor,Judge Promos,demonictutor
206249,,,,Enlightened Tutor,Judge Promos,enlightenedtutor
79288,,,,Entomb,Judge Promos,entomb
38241,,,,Flooded Strand,Judge Promos,floodedstrand
57648,,,,Flusterstorm,Judge Promos,flusterstorm
185031,,,,Food Chain,Judge Promos,foodchain
82619,,,,Force of Will,Judge Promos,forceofwill
206252,,,,Gamble,Judge Promos,gamble
38243,,,,Gemstone Mine,Judge Promos,gemstonemine
37964,,,,Gaea's Cradle,Judge Promos,gaeascradle
240896,,,,Grand Arbiter Augustin IV,Judge Promos,grandarbiteraugustiniv
279253,,,,Growing Rites of Itlimoc,Judge Promos,growingritesofitlimoc
67748,,,,Imperial Recruiter,Judge Promos,imperialrecruiter
126214,,,,Imperial Seal,Judge Promos,imperialseal
57645,,,,Goblin Welder,Judge Promos,goblinwelder
38251,,,,Intuition,Judge Promos,intuition
247903,,,,"K'rrik, Son of Yawgmoth",Judge Promos,krriksonofyawgmoth
38253,,,,Lightning Bolt,Judge Promos,lightningbolt
119727,,,,Mana Drain,Judge Promos,manadrain
38260,,,,Mishra's Factory,Judge Promos,mishrasfactory
188710,,,,Mox Opal,Judge Promos,moxopal
38261,,,,Natural Order,Judge Promos,naturalorder
67377,,,,Noble Hierarch,Judge Promos,noblehierarch
38263,,,,Orim's Chant,Judge Promos,orimschant
265188,,,,Omniscience,Judge Promos,omniscience
38267,,,,Polluted Delta,Judge Promos,polluteddelta
185032,,,,Rhystic Study,Judge Promos,rhysticstudy
279245,,,,Smothering Tithe,Judge Promos,smotheringtithe
206250,,,,Spellseeker,Judge Promos,spellseeker
38270,,,,Sol Ring,Judge Promos,solring
267938,,,,Stranglehold,Judge Promos,stranglehold
38273,,,,Survival of the Fittest,Judge Promos,survivalofthefittest
67747,,,,Swords to Plowshares,Judge Promos,swordstoplowshares
279252,,,,Training Grounds,Judge Promos,traininggrounds
38278,,,,Vampiric Tutor,Judge Promos,vampirictutor
38280,,,,Wasteland,Judge Promos,wasteland
38232,,,,Wheel of Fortune,Judge Promos,wheeloffortune
38283,,,,Yawgmoth's Will,Judge Promos,yawgmothswill
201092,,,,"Yuriko, the Tiger's Shadow",Judge Promos,yurikothetigersshadow
38281,,,,Windswept Heath,Judge Promos,windsweptheath
